held_out,context,arm,targets,pds_proxy_generator,detectable_median,det_precision,det_yield,n_conf_median
k562,C,zk16@0.788,271,0.6924285909525761,38.0,0.5721041137773022,0.27079098526682854,30.0
k562,C,zk16@1.576,271,0.7372352056853904,119.5,0.555074526330942,0.48192536408735653,30.0
k562,C,zk16@3.152,271,0.7525830258302584,355.0,0.5413165513572633,0.5369094837379939,30.0
k562,C,zk16@6.304,271,0.7416222495558289,1003.5,0.529550272691934,0.526737899885419,30.0
k562,C,zk16@12.608,271,0.703690036900369,2560.0,0.5190351209270536,0.51742995595976,30.0
cd4_mix,A,raw@0.788,292,0.667702301934755,440.75,0.5211462826161481,0.5231880145478889,0.0
cd4_mix,A,raw@1.576,292,0.6661782704891023,1822.0,0.5182022139354201,0.517884653222576,0.0
cd4_mix,A,zk4@0.788,292,0.6692851762933673,67.75,0.5340107980578048,0.5335208540310276,0.0
cd4_mix,A,zk4@1.576,292,0.67511650896766,337.0,0.5281509354593239,0.5256488441217118,0.0
cd4_mix,A,zk4@3.152,292,0.6719625288330273,1219.25,0.5236904376056049,0.5218025987856335,0.0
cd4_mix,A,zk4@6.304,292,0.6607941439533024,2970.5,0.520561998275988,0.5195231233281785,0.0
cd4_mix,A,zk4@12.608,292,0.6394106293837971,5460.25,0.5193883418464027,0.5188640615975095,0.0
cd4_mix,A,zk16@0.788,292,0.6514793108318033,14.5,0.5536396698307651,0.5575662196937216,0.0
cd4_mix,A,zk16@1.576,292,0.6722037847761616,59.5,0.5432786695424805,0.5372878277830978,0.0
cd4_mix,A,zk16@3.152,292,0.678093960363414,260.25,0.5342888116537359,0.5296815085041673,0.0
cd4_mix,A,zk16@6.304,292,0.6722626276891212,904.0,0.5269792302034595,0.5239084418940585,0.0
cd4_mix,A,zk16@12.608,292,0.6607823753707104,2272.75,0.5225344245752563,0.5210863063130825,0.0
cd4_mix,B,raw@0.788,292,0.6613060772960505,460.0,0.5222424243753034,0.5250524311359737,0.0
cd4_mix,B,raw@1.576,292,0.660035070376124,1751.0,0.5198227436122445,0.5197421925899173,0.0
cd4_mix,B,zk4@0.788,292,0.6635362236972179,77.25,0.5343199599835152,0.5342211726593806,0.0
cd4_mix,B,zk4@1.576,292,0.6684907969684131,346.25,0.5308563481150184,0.529060967245615,0.0
cd4_mix,B,zk4@3.152,292,0.6656486842724663,1169.5,0.5248671265862963,0.5227074225639339,0.0
cd4_mix,B,zk4@6.304,292,0.6513380878407005,2767.75,0.5213765115315487,0.5205070666449303,0.0
cd4_mix,B,zk4@12.608,292,0.6324612813632726,5112.5,0.5201446072007683,0.5195759872256422,0.0
cd4_mix,B,zk16@0.788,292,0.6456832839052864,15.5,0.5570420084337065,0.5573305898733302,0.0
cd4_mix,B,zk16@1.576,292,0.6689556559807937,65.75,0.5453884824369102,0.5402559776098312,0.0
cd4_mix,B,zk16@3.152,292,0.6758696982535424,270.0,0.5344897816241083,0.5301168380599209,0.0
cd4_mix,B,zk16@6.304,292,0.6682436567339829,872.75,0.5274894846632769,0.5241640180803218,0.0
cd4_mix,B,zk16@12.608,292,0.6529680365296804,2128.75,0.5228940291043624,0.5212294862092774,0.0
cd4_mix,C,raw@0.788,292,0.6586993362519418,483.0,0.5199700421394305,0.5230325791280731,0.0
cd4_mix,C,raw@1.576,292,0.6578402297227322,1818.0,0.5198091810738007,0.5192004388686269,0.0
cd4_mix,C,zk4@0.788,292,0.6649837593560232,86.75,0.53361372028493,0.5391263250334661,0.0
cd4_mix,C,zk4@1.576,292,0.6695676222755731,371.0,0.5294843246279475,0.5292416725459552,0.0
cd4_mix,C,zk4@3.152,292,0.6664666007626041,1222.0,0.5250764698178423,0.5227880276302495,0.0
cd4_mix,C,zk4@6.304,292,0.6551511086004802,2941.25,0.5221889036906922,0.5206021158169052,0.0
cd4_mix,C,zk4@12.608,292,0.6346090476862967,5518.75,0.5208102251805414,0.5200592471820268,0.0
cd4_mix,C,zk16@0.788,292,0.6513086663842207,18.5,0.5497708654772036,0.569898163333685,0.0
cd4_mix,C,zk16@1.576,292,0.6720507932024666,73.0,0.5439760058641125,0.5444020352820178,0.0
cd4_mix,C,zk16@3.152,292,0.6774761097773385,282.75,0.5339917393000277,0.5317171113160896,0.0
cd4_mix,C,zk16@6.304,292,0.6728628254013087,922.25,0.5282118411812227,0.5244971194003938,0.0
cd4_mix,C,zk16@12.608,292,0.6586463776302782,2267.5,0.523986228142997,0.5215708698277657,0.0
orion_hct116,A,raw@0.788,265,0.6743067467124071,462.5,0.5196909245356892,0.5104755410955691,53.0
orion_hct116,A,raw@1.576,265,0.671833905088622,1711.5,0.5132255089241585,0.5094939655484689,53.0
orion_hct116,A,zk4@0.788,265,0.6747927387078332,118.5,0.5407354737481811,0.4806071834193238,53.0
orion_hct116,A,zk4@1.576,265,0.6802029731275014,449.5,0.5253210068241184,0.5167096959448199,53.0
orion_hct116,A,zk4@3.152,265,0.6698970840480274,1392.0,0.514805457754997,0.5113808974627523,53.0
orion_hct116,A,zk4@6.304,265,0.6500357347055461,3338.0,0.5095256703928897,0.5075373566766499,53.0
orion_hct116,A,zk4@12.608,265,0.6209619782732989,6075.5,0.5046556593426519,0.503924019153347,53.0
