variant,held_out,target,inner_estimate,outer_pds
base_g1,k562,ZHX3,0.2661943920366068,0.9481481481481482
base_g1,k562,ZKSCAN1,0.267818067449333,1.0
base_g1,k562,ZKSCAN2,0.42732622229060735,0.8481481481481481
base_g1,k562,ZKSCAN3,0.6832975270601631,0.4296296296296296
base_g1,k562,ZNF16,0.6092414747533551,0.5518518518518518
base_g1,k562,ZNF174,0.8296687222250659,0.6925925925925926
base_g1,k562,ZNF219,0.22766504834225487,0.1518518518518519
base_g1,k562,ZNF22,0.31753966900592906,0.9592592592592593
base_g1,k562,ZNF25,0.40604280120927244,0.19999999999999996
base_g1,k562,ZNF251,0.3143740471474336,0.5444444444444445
base_g1,k562,ZNF280C,0.8212472563920651,0.6
base_g1,k562,ZNF282,0.21241104423706114,0.48888888888888893
base_g1,k562,ZNF32,0.4026394636587445,0.07777777777777772
base_g1,k562,ZNF324,0.663959144333894,0.2148148148148148
base_g1,k562,ZNF397,0.8553655748302648,0.9185185185185185
base_g1,k562,ZNF410,0.9528551746215017,0.3740740740740741
base_g1,k562,ZNF444,0.7934688307729804,0.9185185185185185
base_g1,k562,ZNF462,0.9507085818982639,1.0
base_g1,k562,ZNF496,0.2878530057834224,0.7074074074074075
base_g1,k562,ZNF507,0.9938092621249054,1.0
base_g1,k562,ZNF514,0.5567845021013111,1.0
base_g1,k562,ZNF526,0.4872976324647851,0.8629629629629629
base_g1,k562,ZNF530,0.6844664515295062,0.4703703703703703
base_g1,k562,ZNF543,0.6587320746096453,0.837037037037037
base_g1,k562,ZNF627,0.6747039037099837,0.8407407407407408
base_g1,k562,ZNF628,0.7420814777728003,0.962962962962963
base_g1,k562,ZNF641,0.2955878607933407,0.6888888888888889
base_g1,k562,ZNF670,0.2120863158853347,0.4444444444444444
base_g1,k562,ZNF714,0.7069395111749598,0.9851851851851852
base_g1,k562,ZNF740,0.2950324336281533,0.9851851851851852
base_g1,k562,ZNF768,0.4588466970879483,0.33333333333333337
base_g1,k562,ZNF777,0.7806328564851119,0.9
base_g1,k562,ZNF783,0.22615983533994188,0.1962962962962963
base_g1,k562,ZNF784,0.26842207429901804,0.4925925925925926
base_g1,k562,ZNF786,0.5872367118240663,0.007407407407407418
base_g1,k562,ZNF821,0.9910600255427843,0.5518518518518518
base_g1,cd4_mix,ACLY,0.98828125,1.0
base_g1,cd4_mix,ADNP,0.9972993510788929,1.0
base_g1,cd4_mix,AGO1,0.7268611508030877,0.2680412371134021
base_g1,cd4_mix,AKAP1,0.9499650032938076,0.6494845360824743
base_g1,cd4_mix,AKIRIN1,0.948732494813278,0.570446735395189
base_g1,cd4_mix,AKT2,0.7300223433937972,1.0
base_g1,cd4_mix,ALG12,0.6181730583277297,0.8178694158075601
base_g1,cd4_mix,ANKZF1,0.9507924272492195,1.0
base_g1,cd4_mix,ANP32B,0.915088099103975,0.7147766323024055
base_g1,cd4_mix,AP2A2,0.8335638187189413,0.5326460481099656
base_g1,cd4_mix,API5,0.9787228226701435,0.979381443298969
base_g1,cd4_mix,ARL14EP,0.7457633014818034,0.5532646048109966
base_g1,cd4_mix,ASCC2,0.40931289515441255,0.45704467353951894
base_g1,cd4_mix,BCKDK,0.6609717364653207,0.3264604810996563
base_g1,cd4_mix,BCL6,0.8378251182900628,0.9690721649484536
base_g1,cd4_mix,BCL7C,0.6320157846505831,0.9072164948453608
base_g1,cd4_mix,BRD1,0.8583559782608696,0.35051546391752575
base_g1,cd4_mix,BRPF1,0.9944674965421854,1.0
base_g1,cd4_mix,CAND1,0.7655307813841099,0.9106529209621993
base_g1,cd4_mix,CARM1,1.0,1.0
base_g1,cd4_mix,CAT,0.6529787646786283,0.429553264604811
base_g1,cd4_mix,CCDC112,0.5604724418663452,0.24398625429553267
base_g1,cd4_mix,CHD3,0.8794981701258481,0.6013745704467354
base_g1,cd4_mix,CHD6,0.8507079550921447,0.7285223367697595
base_g1,cd4_mix,CHKB,0.9463822614107884,0.0034364261168384758
base_g1,cd4_mix,CLCN6,0.9144430048272733,0.29209621993127144
base_g1,cd4_mix,COIL,0.9652658972345683,0.9106529209621993
base_g1,cd4_mix,COMMD8,0.4211975741311728,0.563573883161512
base_g1,cd4_mix,COQ10B,0.9130434782608695,0.4226804123711341
base_g1,cd4_mix,CSNK2A1,0.9005406764742864,1.0
base_g1,cd4_mix,CYTH2,0.2669844857901585,0.9450171821305842
base_g1,cd4_mix,DBF4B,0.45873043105828265,0.7869415807560137
base_g1,cd4_mix,DBN1,0.6677181908385679,0.8419243986254296
base_g1,cd4_mix,DCAF16,0.94301627359651,0.1924398625429553
base_g1,cd4_mix,DCP2,1.0,1.0
base_g1,cd4_mix,DDHD1,0.9960127074688797,0.9587628865979382
base_g1,cd4_mix,DEAF1,0.04002960753803597,0.7628865979381443
base_g1,cd4_mix,DEK,0.8629119993002368,0.33676975945017185
base_g1,cd4_mix,DHRS1,0.7608414832863181,0.9896907216494846
base_g1,cd4_mix,DHX35,0.9551694927126215,0.9243986254295533
base_g1,cd4_mix,DLAT,0.7503193865864125,0.19931271477663226
base_g1,cd4_mix,DMTF1,0.3894503851431508,0.993127147766323
base_g1,cd4_mix,DNTTIP1,0.9894598155467721,1.0
base_g1,cd4_mix,DRG2,0.40632376044861385,0.9725085910652921
base_g1,cd4_mix,DTNBP1,0.4861864660724146,0.18213058419243988
base_g1,cd4_mix,DVL3,0.40562760617404425,0.3573883161512027
base_g1,cd4_mix,E2F1,0.961135803279047,0.9759450171821306
base_g1,cd4_mix,E2F4,0.9323781120331951,0.6941580756013745
base_g1,cd4_mix,EAPP,0.9255951831821735,0.1924398625429553
base_g1,cd4_mix,ELK1,0.9921411808300395,0.40893470790378006
base_g1,cd4_mix,EPC2,0.9972993510788929,0.8247422680412371
base_g1,cd4_mix,EPM2AIP1,0.9366932904728321,0.37800687285223367
base_g1,cd4_mix,EZH2,0.9423547786178581,0.993127147766323
base_g1,cd4_mix,FAM120A,0.5431940461010064,0.8487972508591065
base_g1,cd4_mix,FCGRT,0.8924565184931582,0.2405498281786942
base_g1,cd4_mix,FHL3,0.42531643531426483,0.8762886597938144
base_g1,cd4_mix,FOXN2,1.0,1.0
base_g1,cd4_mix,FOXO4,0.9723166401521985,0.6357388316151202
base_g1,cd4_mix,FUBP3,0.9617471351732187,0.6563573883161512
base_g1,cd4_mix,FXYD5,0.8710503564760904,0.7010309278350515
base_g1,cd4_mix,GIGYF2,0.9972337482710927,1.0
base_g1,cd4_mix,GLI3,0.9841897233201582,0.6632302405498282
base_g1,cd4_mix,GMEB2,1.0,0.9347079037800687
base_g1,cd4_mix,GPATCH8,0.8656280879446641,0.9587628865979382
base_g1,cd4_mix,GRAMD1A,0.6279899248437832,0.17182130584192434
base_g1,cd4_mix,GTF2IRD1,0.8871330812750452,0.3470790378006873
base_g1,cd4_mix,HDAC1,0.8759693711765864,0.30584192439862545
base_g1,cd4_mix,HDAC8,0.6737648819286132,0.5910652920962199
base_g1,cd4_mix,HMGN3,0.5063693022936381,0.3264604810996563
base_g1,cd4_mix,HMGN4,0.7879276803359684,0.281786941580756
base_g1,cd4_mix,HMGXB3,1.0,1.0
base_g1,cd4_mix,HOMEZ,0.4320574227868619,0.5120274914089347
base_g1,cd4_mix,HSBP1,0.7397226752346667,0.8144329896907216
base_g1,cd4_mix,HSP90AB1,0.9417781700848463,0.4776632302405498
base_g1,cd4_mix,IFI27L2,0.7707097301264495,0.9587628865979382
base_g1,cd4_mix,IFNAR2,0.4846306203155495,0.8625429553264605
base_g1,cd4_mix,IFNGR2,0.9647974308300395,0.6460481099656357
base_g1,cd4_mix,IREB2,0.7348008416635232,0.6323024054982818
base_g1,cd4_mix,KDM5A,0.9972337482710927,0.993127147766323
base_g1,cd4_mix,KHDRBS1,0.9906461329878252,0.979381443298969
base_g1,cd4_mix,KHSRP,1.0,0.9896907216494846
base_g1,cd4_mix,KIF2A,0.1614786633701256,0.5670103092783505
base_g1,cd4_mix,KMT2A,0.6232630311264822,0.9896907216494846
base_g1,cd4_mix,LDLR,0.6373135744168184,0.7697594501718213
base_g1,cd4_mix,LMAN1,0.7536982301592507,0.12714776632302405
base_g1,cd4_mix,LMBRD2,0.7105577212454692,0.5429553264604812
base_g1,cd4_mix,LPCAT3,0.40899323095195134,0.6529209621993127
base_g1,cd4_mix,MAP2K2,0.36687844927262886,0.6323024054982818
base_g1,cd4_mix,MARCKSL1,0.8246846110846878,0.4742268041237113
base_g1,cd4_mix,MBD4,0.36718677392725746,0.8281786941580755
base_g1,cd4_mix,MED13,0.8272713520055325,0.831615120274914
base_g1,cd4_mix,MED15,0.9255627448146447,0.8384879725085911
base_g1,cd4_mix,MED25,0.9565272060310847,0.9587628865979382
base_g1,cd4_mix,MLLT10,0.9446061807070342,0.12714776632302405
base_g1,cd4_mix,MSANTD4,0.586079404511013,0.9553264604810997
base_g1,cd4_mix,MSI2,0.6920548465099307,0.70446735395189
base_g1,cd4_mix,MTA1,1.0,0.604810996563574
base_g1,cd4_mix,MTF1,0.9947299077733861,1.0
base_g1,cd4_mix,MTHFSD,0.6099944468248241,0.9381443298969072
base_g1,cd4_mix,MTM1,0.6610836584430814,0.21993127147766323
base_g1,cd4_mix,MYD88,0.6999322873102303,0.7731958762886598
base_g1,cd4_mix,MYPOP,0.9189712856168577,0.9415807560137457
base_g1,cd4_mix,MYRF,0.4399678358317069,0.9828178694158075
base_g1,cd4_mix,NABP2,0.8776179620487756,0.9965635738831615
base_g1,cd4_mix,NAIF1,1.0,1.0
base_g1,cd4_mix,NCLN,0.8824643481199329,0.8178694158075601
base_g1,cd4_mix,NFE2L1,0.4259217664307699,0.2542955326460481
base_g1,cd4_mix,NGLY1,0.7575835094700386,1.0
base_g1,cd4_mix,NIPAL3,0.7743387911794292,0.7938144329896908
base_g1,cd4_mix,NIPSNAP3A,0.10620985671936761,0.6563573883161512
base_g1,cd4_mix,NT5DC1,0.4860655963158556,0.7079037800687284
base_g1,cd4_mix,NUP37,0.87387680817739,0.979381443298969
base_g1,cd4_mix,PAN2,0.946774255271459,1.0
base_g1,cd4_mix,PAPOLA,0.993458703886693,0.831615120274914
base_g1,cd4_mix,PATL1,0.9083809380791498,0.5910652920962199
base_g1,cd4_mix,PCGF1,0.7621023513139695,1.0
base_g1,cd4_mix,PCGF6,0.8275152056716361,1.0
base_g1,cd4_mix,PDCD4,0.3979285870726934,0.3883161512027491
base_g1,cd4_mix,PDE6D,0.4484745895040974,0.8178694158075601
base_g1,cd4_mix,PDK1,0.28941073730038974,0.9656357388316151
base_g1,cd4_mix,PGLS,0.38722054100790515,0.7835051546391752
base_g1,cd4_mix,PHF19,0.2626380648675097,0.9862542955326461
base_g1,cd4_mix,PHF23,1.0,1.0
base_g1,cd4_mix,PHF8,0.7931924444699567,1.0
base_g1,cd4_mix,PI4KB,0.6540432513844926,0.8694158075601375
base_g1,cd4_mix,PIM2,0.9054564452025214,0.5395189003436427
base_g1,cd4_mix,PIN1,0.3247201886490742,0.8419243986254296
base_g1,cd4_mix,PINK1,0.5382687957169566,0.9312714776632303
base_g1,cd4_mix,PKN3,0.5309334856719368,0.6082474226804124
base_g1,cd4_mix,PLAGL2,0.5779642389527605,0.5395189003436427
base_g1,cd4_mix,PLCG1,0.8323504657457672,0.48797250859106533
base_g1,cd4_mix,PNP,0.4042659848758194,0.6804123711340206
base_g1,cd4_mix,POLD4,0.6321351595514955,0.302405498281787
base_g1,cd4_mix,POR,0.66083151900568,0.7560137457044673
base_g1,cd4_mix,PPIF,0.9459716459197787,0.3436426116838488
base_g1,cd4_mix,PPIP5K2,0.8556468513727388,0.04810996563573888
base_g1,cd4_mix,PQBP1,1.0,1.0
base_g1,cd4_mix,PRDX3,0.8040499440667728,0.697594501718213
base_g1,cd4_mix,PRKAB2,0.4690791458582761,0.8797250859106529
base_g1,cd4_mix,PRKACA,0.3926822844059392,0.2852233676975945
base_g1,cd4_mix,PRMT2,0.73920925638534,0.45704467353951894
base_g1,cd4_mix,PRMT6,0.9930843706777317,0.9759450171821306
base_g1,cd4_mix,PRMT7,0.9785723334167037,0.70446735395189
base_g1,cd4_mix,PRNP,0.9319867801800251,0.30584192439862545
base_g1,cd4_mix,PSKH1,0.38974337684986243,0.0068728522336769515
base_g1,cd4_mix,PTMS,0.694840744913049,0.8762886597938144
base_g1,cd4_mix,PTOV1,0.6322181240398755,0.16151202749140892
base_g1,cd4_mix,PYCR1,0.16736519135519,0.12371134020618557
base_g1,cd4_mix,R3HCC1L,0.9941174654150198,0.9965635738831615
base_g1,cd4_mix,RAB5A,0.7937407361660079,0.9415807560137457
base_g1,cd4_mix,RABEP2,0.9025351342329119,0.061855670103092786
base_g1,cd4_mix,RBM18,0.9525691699604742,1.0
base_g1,cd4_mix,RBM26,1.0,1.0
base_g1,cd4_mix,RBM4B,0.894394620193911,0.3745704467353952
base_g1,cd4_mix,RBM5,0.8830739288974901,0.993127147766323
base_g1,cd4_mix,RC3H2,0.939796931121152,0.8041237113402062
base_g1,cd4_mix,REV1,0.7061270118194392,0.0893470790378007
base_g1,cd4_mix,RNF10,0.9932966188244524,0.38144329896907214
base_g1,cd4_mix,RNF141,0.12328431146436403,0.46735395189003437
base_g1,cd4_mix,RNF2,0.9347329581331082,0.9828178694158075
base_g1,cd4_mix,RSRC1,0.9751847769709544,0.9037800687285223
base_g1,cd4_mix,S100A11,0.9000282399586702,0.6013745704467354
base_g1,cd4_mix,SAP30L,0.05307519140985898,0.8006872852233677
base_g1,cd4_mix,SFXN4,0.25894790692874986,0.49828178694158076
base_g1,cd4_mix,SH2D3A,0.20555347841804297,0.24742268041237114
base_g1,cd4_mix,SHPRH,0.8136775832130615,0.37800687285223367
base_g1,cd4_mix,SIN3B,0.9536551612325675,1.0
base_g1,cd4_mix,SLC25A13,0.4508481212995916,0.865979381443299
base_g1,cd4_mix,SLC39A1,0.5942699748590906,0.5326460481099656
base_g1,cd4_mix,SLIRP,0.8862555583003953,0.8213058419243986
base_g1,cd4_mix,SMARCA5,1.0,1.0
base_g1,cd4_mix,SMARCC2,0.32765230528949973,0.33333333333333337
base_g1,cd4_mix,SMYD2,0.7329971274853898,0.5085910652920962
