target,panel,energy,genes_z3,cells
ANKS6,False,15.9531,370,1534
ANKZF1,True,39.0025,494,671
ANLN,False,107.163,132,43
ANO10,False,21.9318,1173,3905
ANO6,False,20.4294,1013,3871
ANO8,False,35.7589,1222,4132
ANO9,False,25.595,235,596
ANP32A,False,20.5182,448,910
ANP32B,True,27.1042,1026,1027
ANP32E,False,11.6979,568,2431
ANPEP,False,41.499,985,2245
ANTKMT,False,22.0793,548,1875
ANTXR2,False,11.2497,492,2266
ANXA1,False,14.6532,288,1528
ANXA11,False,15.9535,415,2234
ANXA2,False,29.1505,711,1384
ANXA2R,False,16.7715,408,1580
ANXA3,False,19.1368,363,1481
ANXA4,False,14.6569,655,2221
ANXA5,False,13.3852,332,1576
ANXA6,False,38.2891,284,414
ANXA7,False,32.15,325,589
ANXA9,False,14.5643,412,2132
AOAH,False,18.5681,251,1094
AOC2,False,14.753,355,1855
AOC3,False,11.8399,443,2699
AOPEP,False,26.3052,835,1515
AP1AR,False,18.425,485,2288
AP1B1,False,19.6041,470,1673
AP1G1,False,24.2953,343,703
AP1G2,False,13.6524,457,2184
AP1M1,False,29.1756,454,596
AP1S1,False,20.5225,199,991
AP1S2,False,50.0592,1449,1183
AP1S3,False,22.0018,811,1745
AP2A1,False,39.8246,352,298
AP2A2,True,21.3318,479,1109
AP2B1,False,30.1295,565,1074
AP2S1,False,71.5706,218,138
AP3B1,False,40.0262,865,1211
AP3D1,False,18.4982,665,1701
AP3M1,False,13.6496,400,2672
AP3M2,False,15.6668,705,2905
AP3S1,False,41.3834,486,555
AP3S2,False,71.1531,3027,5572
AP4B1,False,18.1647,535,1493
AP4E1,False,22.7439,223,733
AP4M1,False,32.9419,534,534
AP4S1,False,36.3752,1460,3751
AP5B1,False,29.2547,1188,3040
AP5M1,False,18.4503,386,1409
AP5S1,False,13.231,304,1474
AP5Z1,False,18.5395,848,2697
APAF1,False,30.1507,431,1105
APBA1,False,17.394,328,1286
APBA2,False,23.4939,1610,2705
APBA3,False,18.2568,181,500
APBB1,False,19.9234,395,1117
APBB1IP,False,67.5375,1513,1671
APBB2,False,30.9583,556,989
APBB3,False,21.7974,1127,4836
APC,False,81.5313,430,268
APEH,False,20.8452,670,3218
APEX1,False,30.4332,1416,1888
APEX2,False,57.2276,1828,2237
APH1A,False,30.5958,595,1172
APH1B,False,16.1183,316,1456
API5,True,26.3777,496,679
APIP,False,14.3311,316,1663
APLF,False,21.6372,325,861
APLP1,False,22.7641,480,1981
APLP2,False,13.6937,510,2579
APMAP,False,74.1282,1864,2010
APOA1,False,15.8788,470,2104
APOA4,False,21.3991,269,553
APOBEC2,False,36.7616,1753,3400
APOBEC3A,False,20.0512,838,2490
APOBEC3B,False,26.4113,1359,2716
APOBEC3C,False,23.457,620,1276
APOBEC3D,False,19.2861,307,1844
APOBEC3F,False,17.353,293,1293
