target,gene,dist,log2fc
AP2M1,DVL3,19530,0.10979670765103801
AP2S1,ARHGAP35,9471,0.06379969303979983
AP3D1,DOT1L,535,0.18423396395009878
AP3M1,ADK,130,0.18788798212445565
AP3S1,ATG12,1112,-1.6407257805402367
AP4B1,HIPK1,23602,-0.24707285982326196
AP4M1,TAF6,26346,-0.14743055080436587
AP4M1,MCM7,1099,-1.5614952348618567
AP4M1,COPS6,11893,0.4283829763595629
AP4M1,LAMTOR4,48047,0.02717471521245094
AP4S1,STRN3,1631,-1.513359475534684
AP5M1,EXOC5,528,-0.9535125915865087
AP5S1,MAVS,31437,-0.04284133428586927
AP5S1,C20orf27,42519,0.046084794803094534
AP5S1,CENPB,24517,-0.05772752963841896
APAF1,IKBIP,36,-0.49223730692811696
APBB3,SLC35A4,341,-2.776634867705216
APBB3,SRA1,6861,-0.837416537441471
APEX1,OSGEP,564,-0.4692696349807957
APEX1,PIP4P1,7092,-0.1774395805716354
APEX1,PNP,7467,-0.31316973033587325
APEX2,ALAS2,30663,-3.5530120674381345
APH1A,ANP32E,33378,0.06524826550740444
API5,TTC17,46955,0.22562348835149154
APIP,PDHX,691,-3.908875111439901
APOBEC3B,APOBEC3C,31816,-0.06755425386262942
APOBR,CLN3,940,-0.42941395357060985
APOC1,CLPTM1,41452,-0.14297507446253374
APOC1,APOE,9346,-2.4196539315694094
APOC1,TOMM40,22564,-0.2074114132543607
APOE,TOMM40,13218,0.08516027518296256
APOE,APOC1,9346,0.027039275914823725
APOM,CSNK2B,12811,0.05068748987606312
APOM,GPANK1,13867,-0.13522150567842542
APOM,BAG6,331,-2.354319440073324
APOM,PRRC2A,31741,-0.15495986097460832
APOM,AIF1,37202,0.17513143831557723
APRT,PIEZO1,26719,0.1963642751479277
APRT,CDT1,8193,0.12217308057552466
APRT,TRAPPC2L,44250,0.15291694360521527
APTX,DNAJA1,27,-0.5194772829764933
AQP10,HAX1,48764,-0.1155171919823763
AQR,ZNF770,19649,-0.798382467135947
ARAF,TIMP1,21184,-0.16405754899568148
ARF1,C1orf35,23570,0.4670829296108024
ARF4,PDE12,41971,-0.025529849122103095
ARF6,NEMF,39553,0.04252348893619825
ARFIP2,TIMM10B,33,-1.1579813323163914
ARFRP1,SLC2A4RG,31096,0.06924404416807488
ARG2,PIGH,19541,-0.8164537314831605
