target,gene,dist,k562_log2fc,hepg2_log2fc,hepg2_cells
NOP16,HIGD2A,275,-0.8649624168821884,-1.7847624658913266,32
NPAT,ATM,129,-0.4046424353463098,-0.9126948123980783,18
NUDT15,SUCLA2,454,-0.22157140698142375,0.2186752592381034,39
NUDT21,OGFOD1,691,-1.3217546129667075,-1.318578530013668,19
NUP43,PCMT1,1089,-0.08272578277009818,0.054586969606638114,67
NUP88,RPAIN,1098,-0.9075592031138786,-1.7859584856427921,200
NUTF2,THAP11,2049,0.20843570096631794,-0.23958757267654232,101
OGFOD1,NUDT21,691,-1.3538731432805036,-1.9589843091551389,58
ORC1,PRPF38A,432,-0.30791740252491206,-1.083277204726915,67
ORC3,RARS2,39,-1.2168624700729138,-1.4120475093010594,33
ORC6,VPS35,217,-0.7189395324261924,-1.541888031501349,52
OSGEP,APEX1,564,-2.191609044319783,-2.2207046504774546,41
PAF1,MED29,149,0.12019443295239875,-1.3348363684410145,34
PALB2,DCTN5,38,-1.0872191539416798,-0.4742695801641054,49
PARN,BFAR,85,-0.5557831142324828,0.14987358041059942,94
PCID2,CUL4A,1265,-0.07671951458653962,-0.10293740677943958,67
PCNX3,MAP3K11,360,-0.690644317382811,-0.5164572835600436,62
PDCD11,ATP5MD,110,-0.5624552300208735,-0.8157875278555032,133
PFDN6,WDR46,843,-0.31239977756682774,-0.08706007928694073,35
PGAM1,RRP12,29,-0.32659533631320936,0.014155417605341482,77
PHB2,EMG1,76,-0.11815997308701047,-0.47035960470049676,57
PI4KA,SNAP29,880,-0.37537140483347436,-2.037386984849752,219
PMPCA,ENTR1,9,-0.590480221111881,-1.6132761127339432,51
POLE,PXMP2,195,-1.5968979215290935,-3.4663556737480796,31
POLR1A,PTCD3,68,-0.59850361127345,-1.4591435770190808,31
POLR2B,NOA1,86,-0.4111920873136547,-0.18534687334684602,133
POLR2I,TBCB,924,-0.5477230010936821,-1.8018454719795,140
POLR3C,RNF115,358,-0.6943062525410842,0.009535203015614864,35
POLR3K,SNRNP25,154,-2.2186411170424924,-10.007116059382206,33
POP1,RIDA,80,-0.21785021502704693,-0.47312298568848304,58
PPP2R3C,PRORP,705,-3.24968121630438,-1.8768719056919094,38
PPP6C,RABEPK,753,-0.25938919198552407,-0.11273830986309709,459
PPWD1,CENPK,316,-0.5052806866336913,-1.3586648983601812,22
PRORP,PPP2R3C,705,-0.9355476450216511,-1.3334867150252827,34
PRPF4,CDC26,35,0.294245195762378,-0.3601806399272167,78
PRPF40A,ARL6IP6,1429,-0.9496233452541754,-0.319088229381029,41
PSMB3,PCGF2,171,0.15793343817663089,-0.9150814293707432,50
PSMC5,FTSJ3,2930,0.32709312884324293,-0.9771401761600088,117
PSMG4,TUBB2B,327,-0.37340157074997987,0.6077920032862422,31
PTCD1,ATP5MF,0,-0.204266626512608,-0.0402371781481135,46
PTCD3,POLR1A,68,-1.3700208800844864,-2.0470272490528796,40
PTPMT1,CELF1,139,0.0699277608897422,-0.2891142532129597,51
PTPMT1,NDUFS3,94,-0.055600755382432365,0.1633808048353161,51
RAD17,AK6,733,-0.5636552901056499,-0.39909018298607035,26
RAD17,TAF9,733,-0.8004045466736139,-0.803708197515882,26
RARS2,ORC3,39,-1.7050013044955883,-2.489618616760385,85
RBBP4,ZBTB8OS,32,-0.4446275093223524,-0.704132873770747,41
RBM10,NDUFB11,1223,-1.8833289934521595,-2.611678314823511,171
RBM12,CPNE1,6,-3.1303037017987556,-3.5019319066001007,22
RELL2,HDAC3,354,-1.6737747428858238,-2.2223253826867566,43
RMI1,HNRNPK,1231,-0.338518541978077,-0.3089808901272386,36
RNF113A,NDUFA1,296,-0.09575649554574994,-1.0872552204325414,36
RNF31,PSME2,887,-1.863061441642622,-2.302769812323902,76
RNMT,FAM210A,81,-0.6095252473375445,-2.020732462125474,53
ROMO1,NFS1,148,-0.22528111966530853,0.10090495519341344,37
RPAIN,NUP88,1098,-0.2892740562470048,-0.38193859704829203,35
RPRD1B,TTI1,53,-1.2981998666408363,-1.076556404909663,18
RRP12,PGAM1,29,-0.610106522173233,-0.4516414951406926,69
SARNP,ORMDL2,122,-1.4929467178118516,-0.45395713086844547,21
SART3,ISCU,1149,-0.10929558178065456,0.090732141241493,355
SDHAF2,CPSF7,73,-0.5828209848838327,-2.0642137139712085,79
SF3A2,PLEKHJ1,891,-0.23112267043415397,-0.7336875252759494,103
SF3B3,COG4,200,0.0489700836539883,-1.6359629637276294,326
SHC1,CKS1B,189,-0.5008503584633235,-2.577557176883562,65
SLBP,TACC3,514,0.14776398850932004,-0.3340851229550278,46
SLC25A42,SUGP2,50,0.30481767125175585,-0.3435521696351544,73
SLC35G6,POLR2A,2920,-0.09828268929251852,-0.5607068101152124,26
SLC39A9,ERH,587,-1.213737158220979,-0.9858410183811767,45
SLC7A6OS,PRMT7,52,-0.4560867501737971,-2.293920050673367,51
SLU7,PTTG1,90,0.02381845323654722,-0.5571854819806185,342
SNRNP25,POLR3K,154,-0.6642610184296016,-1.1524740861322742,35
SNRNP40,ZCCHC17,119,-1.1313746483572111,-0.2472696678601238,65
SOD2,ACAT2,1084,0.15417933456622743,-0.34838348346288983,46
SON,GART,1310,0.05522785616050001,0.34019851905907844,61
SPG7,ANKRD11,13,-0.03546976375475131,-0.06222279721166323,62
SRSF7,GEMIN6,36,0.16512884305117242,-0.3340411784636237,75
STXBP4,COX11,5,-3.011626060950361,-4.148740770217507,58
SUDS3,TAOK3,3565,0.051554407632169445,1.1620254329649602,36
SUPT6H,SDF2,269,0.46040307187947643,0.8785255265559061,29
TACC3,SLBP,514,-0.2572346937018258,-0.44214392924225115,68
TADA2A,ACACA,122,-0.03394060614342575,-0.44828821740103353,38
TADA3,ARPC4,527,-0.7655785244201705,-0.3004743571298022,38
TAF1D,MED17,164,0.09469859545943166,-0.6576039617551446,114
TBCB,POLR2I,924,-1.2766004125930706,-2.3917992329758944,55
TBP,PSMB1,939,0.0019154291643121676,-0.013877941464048818,76
TEN1,ACOX1,247,-0.7999781529491146,-1.0500371340984382,40
TFPT,PRPF31,256,-0.4114063984478578,-1.121890959803132,41
THAP11,NUTF2,2049,0.07551779080507921,0.099269219914167,86
THOC6,HCFC1R1,1771,-2.7619935632922665,-5.3230994897587856,59
TIGD1,EIF4E2,76,-0.49641954403630234,-0.2184219531951774,41
TIMM9,KIAA0586,277,-0.6412850690452905,-1.706073151129373,32
TIPIN,MAP2K1,60,-0.19252335733758974,-0.5742275429962183,26
TMEM127,CIAO1,77,-0.5974177902032367,-0.46966846248501437,39
TMEM199,POLDIP2,13,-2.1646153189275847,-2.963571936896914,34
TMEM258,FEN1,77,-0.40269312025989806,-0.7394416688688407,22
TPR,ODR4,292,-1.0759898697583878,0.08297788297041804,93
TRAPPC11,RWDD4,64,0.07117829750050253,-0.8670355124882433,237
TRIAP1,GATC,29,-0.5153313014158529,-1.2646152032762856,36
TRMT112,PRDX5,109,-1.3073518492842826,-3.0607940857420695,63
TRMT6,MCM8,799,-2.214451711592601,-4.444980652327751,40
TSEN34,MBOAT7,1418,-0.22726110644047484,-0.14119602867329156,68
TTI1,RPRD1B,53,-0.20902650005532955,-0.9170027582965663,37
TUBB,MDC1,127,0.10124117144810862,-0.5844158680502257,97
TXNL4A,RBFA,440,-0.21871064059827977,-0.2231616312436525,17
TXNL4B,DHX38,818,-0.6358733642795115,-0.3210078488025647,75
UBA3,ARL6IP5,4377,-1.0351656146615447,-0.5770175024274594,16
UBE2D3,CISD2,549,-0.2662609447646404,-0.14286311449119465,34
UBE2M,CHMP2A,3857,-0.09052896555667655,0.1285074226178367,74
UBQLN4,LAMTOR2,102,-0.07753559978411603,0.4831556044416298,76
UCHL5,RO60,658,-1.5699500841118674,-1.9968950058229438,36
UNC50,COA5,368,-0.4999089478883257,-0.7946226340530828,18
UQCRH,LRRC41,2730,-0.20000343886028582,-0.5602694154971523,19
USP37,CNOT9,193,-0.5878095314079141,-2.33957227082669,50
USP5,CDCA3,255,-0.10538985534524672,-1.2320676054806063,98
UTP23,EIF3H,433,-0.6587402061747915,-0.8622963458001984,88
VMP1,PTRH2,446,-0.20491424114898552,-0.80897978534925,25
VPS35,ORC6,217,-0.9725124163232671,-0.7506358968479658,102
VPS37A,CNOT7,830,-0.8681616576619618,-0.7892082789558844,31
WDR12,NBEAL1,190,-0.3283681801192605,-0.2358305431759003,110
WDR25,WARS,387,-0.8952955054479795,-4.0764762984094505,21
WDR4,NDUFV3,61,-0.14465004808595355,-0.20974363566270793,108
WDR46,PFDN6,843,-0.665814258821193,-1.1555933919321928,92
WDR7,TXNL1,352,-0.1202164995001083,-0.8623606517707361,23
WDR77,ATP5PB,1186,-1.0263474914632573,-0.7127544784962703,50
WDR92,PNO1,261,-0.4216995266650696,-1.3278365940728594,15
XAB2,PET100,138,-0.003932966291651634,-0.7664325435229061,18
XRCC6,DESI1,303,-0.3648773311973077,1.6072220384912316e-06,43
YRDC,C1orf122,1237,0.24381521664900768,-0.29166618975719966,96
ZBTB4,POLR2A,88,-0.3363338741065356,-1.1672802748697324,24
ZC3H4,SAE1,502,-0.21850141875126994,-0.6801691012747486,60
ZMAT5,UQCR10,268,-0.8659962472515538,-0.7218697628115058,30
ZNF207,C17orf75,99,0.398977426390492,0.4568023112841393,86
