held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,energy_kept,pds_minus_base,pds_minus_base_ci95,reach_minus_base,reach_minus_base_ci95
k562,t19,half_stack_r80,271,0.7365313653136533,0.10160577592103219,0.5311439114391144,0.5304804322236771,1.0503161977594864,0.7561442255973816,-0.04033073664069974,"[-0.05073151564848982, -0.029737939046057135]",-0.003960164446981376,"[-0.010934652749224899, 0.0025737415473205015]"
k562,t19,self_r80,271,0.6695776957769577,0.06861549336394221,0.519040590405904,0.518366662698885,1.0589540883675947,0.8335759043693542,-0.10728440617739511,"[-0.1334840098400984, -0.0818327183271833]",-0.036950447004071366,"[-0.04885416705813211, -0.025745880946016406]"
k562,t19,random_r80,271,0.5795271286046193,0.031926483168391945,0.5023985239852399,0.5018411475159528,1.0008919956432263,0.07938632369041443,-0.1973349733497335,"[-0.23991936586032533, -0.151836135028017]",-0.07363945719962163,"[-0.09133334423058478, -0.057589532222392735]"
k562,t19,stack_r160,271,0.671026376930436,0.06522963477077394,0.5210516605166051,0.5203934055469587,1.062186412267963,0.760793149471283,-0.1058357250239169,"[-0.13120814541478745, -0.08126007926745935]",-0.04033630559723964,"[-0.053612936995774865, -0.026413234883454907]"
k562,t19,half_stack_r160,271,0.7479841465081317,0.09743162769296422,0.5332841328413284,0.5326206536258911,1.0614159444736966,0.8271054029464722,-0.02887795544622113,"[-0.038308391417247505, -0.01947519475194752]",-0.00813431267504936,"[-0.014851896606629519, -0.0011724397977036607]"
k562,t19,self_r160,271,0.7311739784064507,0.09597091208000086,0.5267343173431733,0.5260551653903635,1.0719961919060945,0.9337489604949951,-0.04568812354790214,"[-0.06292537925379253, -0.029875290419570866]",-0.00959502828801272,"[-0.018734595998444473, 0.0002181170633143021]"
k562,t19,random_r160,271,0.5815224818914857,0.04162417030536154,0.4977121771217712,0.49715480065248424,1.0019560141472648,0.11269740015268326,-0.19533962006286731,"[-0.2385783107831078, -0.15206983736504032]",-0.06394177006265203,"[-0.08145041130765966, -0.04636888613303562]"
cd4_mix,t16,base,292,0.6718683801722921,0.004712062324905056,0.5160102739726027,0.2127481868273892,1.4273271645513714,1.0,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]"
cd4_mix,t16,stack_r10,292,0.5131572753377583,0.00411163533549787,0.5061815068493151,0.20433432162556597,1.12331049607044,0.4986800253391266,-0.1587111048345337,"[-0.19255784258343928, -0.12759291295956318]",-0.0006004269894071875,"[-0.0031090069930390127, 0.00224138629767615]"
cd4_mix,t16,half_stack_r10,292,0.6424233865273267,0.005007213749500144,0.5139212328767123,0.20544285378351002,1.1924536454658943,0.6606976985931396,-0.0294449936449654,"[-0.03782598973779598, -0.021453831850491926]",0.0002951514245950872,"[-0.000257099556636178, 0.0008773150701968742]"
cd4_mix,t16,self_r10,292,0.49378618839147015,0.0032130230795811006,0.5016095890410958,0.2037721016848607,1.1716979342520195,0.5996885299682617,-0.1780821917808219,"[-0.21126488725697876, -0.14380913712752436]",-0.0014990392453239564,"[-0.0034890985606630554, 0.0002909877723311881]"
cd4_mix,t16,random_r10,292,0.5121451772348539,0.0020834457341646646,0.5017465753424657,0.18802420628133937,1.000426386038262,0.027720492333173752,-0.15972320293743822,"[-0.20436467306877557, -0.11628536459068868]",-0.002628616590740392,"[-0.004340285973177107, -0.0011366268164346887]"
cd4_mix,t16,stack_r20,292,0.5246669491126488,0.0046534777263526365,0.5052054794520549,0.20318676765178686,1.1400397927104484,0.5321913957595825,-0.1472014310596432,"[-0.17799127948029939, -0.11744662947794567]",-5.858459855242018e-05,"[-0.0030072649443945083, 0.0037401636109565747]"
cd4_mix,t16,half_stack_r20,292,0.6428588240832274,0.005163925049370971,0.5125856164383561,0.2050559058776609,1.2045355668141156,0.680022120475769,-0.02900955608906464,"[-0.03754207268276608, -0.020347585086852134]",0.000451862724465914,"[-0.00013255692862891412, 0.001079182619455997]"
cd4_mix,t16,self_r20,292,0.5113684507837876,0.0021917460803787636,0.5023287671232876,0.2036967334655499,1.215915446414054,0.6794677376747131,-0.16049992938850444,"[-0.19039212917196252, -0.12936555571247002]",-0.002520316244526293,"[-0.0043404420990543185, -0.0010520598471441345]"
