model,uses_context,protocol,direction_id,seed,pooled_mse_vs_null,pearson_median,coverage_targets,n_total_params,n_trainable_params,train_seconds,infer_seconds,peak_rss_bytes,artifact_bytes,calibration_label,context_identifiable,verdict_eligible
lowrank_linear,True,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.8740561376121536,0.25740385155328527,1.0,58824,531,1.3964113999973051,0.04116449999855831,666664960,449367,cross_context_within_training,True,False
lowrank_linear_noctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.8959174416781749,0.22308991848680898,1.0,58491,198,1.3144116000039503,0.03800649999175221,666664960,446873,cross_context_within_training,True,False
compact_mlp,True,new_context_seen_target,k562_hepg2_to_rpe1,2027,14.673160625039788,0.1776910315816334,1.0,163365,163365,2.5456492000375874,0.0384607000160031,666664960,1257390,cross_context_within_training,True,False
compact_mlp_noctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.9334600026637231,0.2121307076354328,1.0,162477,162477,4.775279900000896,0.04632500000298023,666664960,1250170,cross_context_within_training,True,False
modular_frozen,True,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.877635373858537,0.33223822405061815,1.0,110733,624,3.634888599975966,0.05924959998810664,666664960,848871,cross_context_within_training,True,False
modular_frozen_noctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.8730019714004483,0.24267366764591536,1.0,58549,256,2.6151199999731034,0.05767429998377338,666664960,448248,cross_context_within_training,True,False
modular_joint,True,new_context_seen_target,k562_hepg2_to_rpe1,2027,1.5526304603345782,0.3140758545798495,1.0,110733,110733,3.8048897000262514,0.0539437000406906,666664960,848596,cross_context_within_training,True,False
modular_joint_noctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.8971093040731279,0.22537496357891154,1.0,110437,110437,3.8167284000082873,0.05663860001368448,666664960,845972,cross_context_within_training,True,False
gate_G1,True,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.9741318741286881,0.16692641671809388,1.0,4,4,0.59343439998338,0.29335220000939444,666664960,5369,cross_context_within_training,True,False
gate_G1_perm,True,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.970478472883425,0.1600456224486782,1.0,4,4,0.5355686999973841,0.2849964999477379,666664960,5378,cross_context_within_training,True,False
