held_out,predictors,variant,context_weights,targets,pds_proxy,prec_50,prec_200,prec_800,yield_50,yield_200,yield_800,up_50,up_200,up_800,n_conf
cd4_mix,k562+orion_hct116+orion_hek293t,shrunk_g1,C,292,0.6781763404415572,0.5306164383561643,0.5215068493150686,0.5188912671232876,0.5306164383561643,0.5215068493150686,0.5188912671232876,0.5225342465753425,0.476763698630137,0.45903681506849314,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,consensus1,A,292,0.6713976368686155,0.515068493150685,0.5141609589041095,0.5151284246575343,0.515068493150685,0.5141609589041095,0.5151284246575343,0.3168493150684931,0.3744178082191781,0.46850171232876714,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,consensus1,B,292,0.6645247846349386,0.5207534246575343,0.5201369863013698,0.5176070205479453,0.5207534246575343,0.5201369863013698,0.5176070205479453,0.3009589041095891,0.3849486301369863,0.4785958904109589,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,consensus1,C,292,0.6627712658287436,0.5113013698630138,0.5124486301369863,0.5154494863013698,0.5113013698630138,0.5124486301369863,0.5154494863013698,0.306986301369863,0.3794691780821918,0.4736130136986302,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,consensus2,A,292,0.6703737701831192,0.5154794520547945,0.5139554794520548,0.5151755136986301,0.5154794520547945,0.5139554794520548,0.5151755136986301,0.31794520547945204,0.37804794520547946,0.4760659246575342,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,consensus2,B,292,0.663253777715012,0.5206849315068494,0.520736301369863,0.5181506849315068,0.5206849315068494,0.520736301369863,0.5181506849315068,0.3026712328767123,0.3895547945205479,0.48664811643835615,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,consensus2,C,292,0.6620769194558208,0.5108904109589041,0.5125856164383562,0.5155650684931508,0.5108904109589041,0.5125856164383562,0.5155650684931508,0.30767123287671233,0.3843321917808219,0.48159674657534246,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,shuffled_base,A,292,0.505519465235607,0.5015753424657534,0.49881849315068494,0.5018621575342466,0.5015753424657534,0.49881849315068494,0.5018621575342466,0.3082191780821918,0.36183219178082193,0.45083047945205473,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,shuffled_base,B,292,0.48765475686108367,0.4970547945205479,0.5006678082191781,0.5027525684931506,0.4970547945205479,0.5006678082191781,0.5027525684931506,0.2904794520547946,0.3679794520547945,0.4610231164383561,0.0
cd4_mix,k562+orion_hct116+orion_hek293t,shuffled_base,C,292,0.5084027679706256,0.4967808219178082,0.4998287671232876,0.5024700342465753,0.4967808219178082,0.4998287671232876,0.5024700342465753,0.29698630136986304,0.3643835616438356,0.4556421232876712,0.0
orion_hct116,k562+cd4_mix,base_g1,A,265,0.6966552315608919,0.5006037735849056,0.5022264150943395,0.5079198113207547,0.411036803509117,0.4931998940357138,0.5079198113207547,0.38150943396226417,0.41824528301886793,0.4612216981132075,70.70943396226416
orion_hct116,k562+cd4_mix,base_g1,B,265,0.6891223556317896,0.5115471698113208,0.5100943396226415,0.5102877358490566,0.41816597856913806,0.5009917317457929,0.5102877358490566,0.39735849056603767,0.43239622641509434,0.4670377358490566,71.3622641509434
orion_hct116,k562+cd4_mix,base_g1,C,265,0.6771726700971985,0.5068679245283019,0.5057735849056604,0.5087688679245282,0.41150746200259797,0.49637709101024774,0.5087688679245282,0.3889056603773585,0.4286037735849056,0.46388679245283015,73.55471698113207
orion_hct116,k562+cd4_mix,g0,A,265,0.6929102344196684,0.5017358490566038,0.5099056603773585,0.5120377358490565,0.41134212942641385,0.5008495599919224,0.5120377358490565,0.40928301886792456,0.4388301886792452,0.43359905660377357,70.70943396226416
