held_out,target,pds_proxy_A
cd4_mix,RABEP2,0.21649484536082475
cd4_mix,RBM18,1.0
cd4_mix,RBM26,0.9965635738831615
cd4_mix,RBM4B,0.2955326460481099
cd4_mix,RBM5,1.0
cd4_mix,RC3H2,0.8762886597938144
cd4_mix,REV1,0.030927835051546393
cd4_mix,RFK,0.6872852233676976
cd4_mix,RNF10,0.429553264604811
cd4_mix,RNF141,0.4329896907216495
cd4_mix,RNF2,0.993127147766323
cd4_mix,RSRC1,0.9690721649484536
cd4_mix,S100A11,0.5360824742268041
cd4_mix,SAP30L,0.9037800687285223
cd4_mix,SCAF8,1.0
cd4_mix,SEMA4F,0.19587628865979378
cd4_mix,SFXN4,0.7250859106529209
cd4_mix,SH2D3A,0.2714776632302406
cd4_mix,SHPRH,0.36426116838487976
cd4_mix,SIN3B,1.0
cd4_mix,SLC25A13,0.8969072164948454
cd4_mix,SLC39A1,0.2680412371134021
cd4_mix,SLC44A1,0.6323024054982818
cd4_mix,SLIRP,0.9862542955326461
cd4_mix,SMARCA5,1.0
cd4_mix,SMARCC2,0.28865979381443296
cd4_mix,SMYD2,0.5085910652920962
cd4_mix,SND1,0.2955326460481099
cd4_mix,SNN,0.5085910652920962
cd4_mix,SNRK,0.872852233676976
cd4_mix,SNX4,0.36769759450171824
cd4_mix,SOCS5,0.9690721649484536
cd4_mix,SRSF5,0.8934707903780069
cd4_mix,SSR4,1.0
cd4_mix,STAT6,0.48797250859106533
cd4_mix,STK3,0.9175257731958762
cd4_mix,STT3A,0.6151202749140894
cd4_mix,SUPT7L,0.9656357388316151
cd4_mix,SYVN1,0.9621993127147767
cd4_mix,TAF15,0.563573883161512
cd4_mix,TAF4,1.0
cd4_mix,TARBP2,0.4914089347079038
cd4_mix,TBC1D13,0.8041237113402062
cd4_mix,TBC1D19,0.4810996563573883
cd4_mix,TBCK,0.9759450171821306
cd4_mix,TDRD7,0.21993127147766323
cd4_mix,TEAD4,0.8487972508591065
cd4_mix,TESK2,0.8041237113402062
cd4_mix,TEX2,0.9587628865979382
cd4_mix,TFCP2,0.7079037800687284
cd4_mix,THAP3,0.9347079037800687
cd4_mix,THAP7,0.9896907216494846
cd4_mix,TIMM17B,0.9965635738831615
cd4_mix,TIMM50,0.9896907216494846
cd4_mix,TMCO6,0.19931271477663226
cd4_mix,TMED3,0.738831615120275
cd4_mix,TMEM104,0.9587628865979382
cd4_mix,TMEM147,0.9725085910652921
cd4_mix,TMEM186,0.9209621993127148
cd4_mix,TMEM209,0.8041237113402062
cd4_mix,TMEM41B,0.6082474226804124
cd4_mix,TMEM79,1.0
cd4_mix,TMF1,0.697594501718213
cd4_mix,TRAPPC6A,0.5773195876288659
cd4_mix,TRIB3,0.30584192439862545
cd4_mix,TRIM35,0.6666666666666667
cd4_mix,TRIP4,0.718213058419244
cd4_mix,TRMT1,0.33676975945017185
cd4_mix,TRPC4AP,0.7628865979381443
cd4_mix,TTBK2,0.01718213058419249
cd4_mix,TWF2,0.4054982817869416
cd4_mix,TXNDC16,0.8625429553264605
