target,metric,matched,mismatched_median,discrimination
CYTH2,source_mean_removed_pearson,-0.00909331591149053,-0.0033499183048531214,0.4166666666666667
DCP2,source_mean_removed_pearson,-0.05457329813405074,0.0002447145026307599,0.06666666666666667
DEK,source_mean_removed_pearson,-0.004889733649040198,-0.0005642244781162211,0.43333333333333335
DTNBP1,source_mean_removed_pearson,0.027543363648483733,-0.0038254935005233664,0.8166666666666667
ELK1,source_mean_removed_pearson,0.024310635897470328,-0.001629525289412657,0.85
EPC2,source_mean_removed_pearson,0.07180443629518532,0.00027119225428589704,0.9833333333333333
EZH2,source_mean_removed_pearson,0.015422546208470103,0.00037202091395852576,0.6666666666666666
FCGRT,source_mean_removed_pearson,-0.00445309976784099,0.00164320727519699,0.3333333333333333
GTF2IRD1,source_mean_removed_pearson,-0.003883190898770755,-0.00015516767005249087,0.43333333333333335
HMGXB3,source_mean_removed_pearson,0.10860941053246273,0.00011864097721057677,1.0
KMT2A,source_mean_removed_pearson,0.10313897821544878,-0.0010455780362591254,1.0
LDLR,source_mean_removed_pearson,0.04073072298379679,-0.0011355596402198723,0.9333333333333333
LENG1,source_mean_removed_pearson,0.04711678200459414,-0.0021625064253466358,0.9666666666666667
LPCAT3,source_mean_removed_pearson,-0.03551505443783383,-0.0009137246224768788,0.06666666666666667
MAP2K2,source_mean_removed_pearson,0.0076343461756131275,0.0027008539399424117,0.6166666666666667
MSANTD4,source_mean_removed_pearson,0.008748405206361269,-0.003366812465123226,0.6
MTF1,source_mean_removed_pearson,0.2222156154584529,-0.008886964232154772,1.0
MYPOP,source_mean_removed_pearson,0.04764916254300988,-0.006637351811551294,0.9666666666666667
NAIF1,source_mean_removed_pearson,0.051548142514444874,0.003707581227174961,0.9
PAN2,source_mean_removed_pearson,-0.002988108475471983,0.0016388123372473148,0.4166666666666667
PHF19,source_mean_removed_pearson,-0.06815449076857416,0.004392673081226454,0.0
PHF23,source_mean_removed_pearson,0.20878492002840013,-0.003800010361824752,1.0
PIN1,source_mean_removed_pearson,0.033808727049728864,-0.002466952859101354,0.8833333333333333
PPIF,source_mean_removed_pearson,0.0015298613669601619,0.003690249149321129,0.48333333333333334
PRMT7,source_mean_removed_pearson,0.051944793797993355,-0.00020049456066382115,1.0
PRNP,source_mean_removed_pearson,-0.031677049761129936,-0.0017418388230325986,0.11666666666666667
PSKH1,source_mean_removed_pearson,0.002752002456352924,-0.003729011156475361,0.55
RABEP2,source_mean_removed_pearson,-0.038327584798502526,-0.0008057191428244943,0.06666666666666667
RBM26,source_mean_removed_pearson,0.14547916706098293,-0.006099670820811552,1.0
RFK,source_mean_removed_pearson,0.002361029681298372,0.0032640056071415444,0.48333333333333334
RNF141,source_mean_removed_pearson,-0.005424357521772279,-0.0005743048185532882,0.4166666666666667
SH2D3A,source_mean_removed_pearson,-0.028746345186543634,-0.005764479219157583,0.15
SMARCA5,source_mean_removed_pearson,0.03430479608362978,0.0010664473650608074,0.85
STT3A,source_mean_removed_pearson,0.0293391839211019,-0.0018817615529233942,0.9
TARBP2,source_mean_removed_pearson,0.002219679493025496,0.005878646505569355,0.4666666666666667
THAP7,source_mean_removed_pearson,0.06727597108541601,-0.00044762913572849925,1.0
TRIM35,source_mean_removed_pearson,0.01825054474738363,-0.001206058026321068,0.7
UPF3B,source_mean_removed_pearson,0.07440664325577015,-0.0021288941076308627,1.0
UROS,source_mean_removed_pearson,0.05719899013957673,-0.0011159667139087682,1.0
