target,class,cosine,energy_k562,energy_cd4_mix,cells_k562,cells_cd4_mix
SEL1L3,other,-0.0187083,79.9676,18.1541,172,1062
SELENBP1,other,0.0565405,76.8368,23.6195,185,1642
SELENOF,other,0.00896247,64.5289,30.9705,183,2002
SELENOH,other,-0.0237323,60.8703,30.3942,223,787
SELENOI,other,-0.00754572,93.4874,25.4338,144,1118
SELENOK,other,0.00148272,113.368,22.8063,123,1252
SELENOM,other,0.00313944,136.514,14.5866,103,1649
SELENOO,other,0.00544974,68.6337,18.7069,185,2815
SELENOP,other,0.0112473,52.3647,43.1338,242,3401
SELENOS,other,0.00960741,115.017,16.0128,111,2118
SELENOT,other,-0.0221235,74.9744,20.1003,169,1418
SELENOW,other,0.00180174,165.786,17.4269,80,2161
SELPLG,other,0.0480131,76.1081,18.2446,186,2967
SEM1,other,-0.0731208,1194.71,23.9404,21,1902
SEMA4B,other,0.0137449,77.2299,21.6711,157,1502
SEMA4C,other,0.0306282,22.7358,19.0724,542,1023
SENP1,other,0.0729565,129.886,41.3985,116,2519
SENP2,other,-0.0160779,88.4262,28.6671,155,1090
SENP3,other,0.0676471,38.9329,49.9856,333,1785
SENP5,other,0.0959237,254.051,121.957,70,6468
SENP7,other,0.00851322,38.6782,29.0884,353,856
SEPSECS,other,0.055824,54.9549,119.344,228,130
SEPTIN1,other,0.00321657,20.0792,26.9212,643,936
SEPTIN11,other,0.0108752,71.7512,19.1575,177,1594
SEPTIN2,other,0.0243712,2826.13,18.6487,16,1734
SEPTIN5,other,-0.00028745,45.4246,17.4904,274,1833
SEPTIN6,other,0.00630044,104.59,19.996,126,2691
SEPTIN7,other,0.00868939,71.4871,73.1574,175,216
SEPTIN8,other,-0.00803793,45.9622,20.0693,299,2205
SEPTIN9,other,0.0300491,46.5557,77.3177,284,4983
SERBP1,other,0.0834324,80.9519,58.6578,278,359
SERF1B,other,-0.0427826,61.306,124.445,218,153
SERF2,other,0.0221139,34.3761,28.01,392,1413
SERGEF,other,0.0264096,81.1137,111.865,156,3252
SERHL2,other,0.0105504,93.5961,20.0285,147,1182
SERINC1,other,-0.0336547,95.9136,18.2324,135,2891
SERINC3,other,-0.0244934,36.0582,15.2132,416,2357
SERP1,other,-0.0264585,102.774,20.9538,121,1299
SERPINB1,other,0.0122792,152.443,26.6811,111,889
SERPINB6,other,0.00863312,142.375,17.3384,87,1462
SERPINB9,other,0.0031738,238.04,31.9616,66,1084
SERPINF1,other,-0.0106986,61.3438,29.8406,218,1823
SERPING1,other,0.00452055,52.3074,22.7167,245,2049
SERPINH1,other,-0.00292858,80.4694,26.8323,169,1256
SERTAD1,other,-0.0364267,128.999,20.6928,107,2034
SERTAD2,other,-0.0254815,63.93,29.6239,198,1465
SERTAD3,other,-0.0121237,379.357,16.7852,46,1974
SESN1,other,0.00733203,319.256,25.496,50,3038
SESN2,other,0.04502,42.9284,15.6373,332,1704
SET,other,-0.0117992,294.338,33.1771,54,855
SETBP1,other,-0.00817424,148.408,30.1806,86,729
SETD1A,other,0.029663,230.024,107.418,89,139
SETD1B,other,-0.00639754,151.605,45.1171,98,524
SETD2,other,-0.0013455,49.669,76.1274,311,1017
SETD3,other,0.0194517,47.2169,19.5868,277,1397
SETD4,other,-0.00614299,87.5773,32.6088,156,550
SETD5,other,0.108311,62.3563,44.7329,347,1573
SETD6,other,0.0123707,58.2907,22.0529,210,2037
SETD7,other,-0.0144843,77.8524,36.3462,194,661
SETD9,other,-0.0135274,68.8524,16.6265,208,1669
SETDB1,other,0.110518,82.7472,63.1341,319,12639
SETDB2,other,0.00795427,142.17,26.496,96,802
SETMAR,other,0.0298522,68.3441,21.8425,182,1140
SETX,other,0.0574369,49.6847,33.2696,409,605
SF1,other,0.0495909,171.929,61.0217,107,386
SF3A3,spliceosome (SF3/SNRP/PRPF),-0.0266107,1496.6,212.372,22,56
SF3B5,spliceosome (SF3/SNRP/PRPF),0.027027,281.907,48.1364,51,405
SFI1,other,0.0292826,74.3051,30.3952,167,2219
SFMBT1,other,-0.00468554,44.1228,21.3046,279,1142
SFPQ,other,0.0197228,122.098,494.067,183,21
SFSWAP,other,0.0256991,122.965,100.161,221,151
SFT2D1,other,0.0255161,95.9138,19.7498,133,4103
SFT2D2,other,0.0137607,54.2384,23.9152,236,2956
