held_out,variant,context_weights,targets,pds_proxy,median_q99_abs,prec_50,prec_200,prec_800,yield_50,yield_200,yield_800,up_50,up_200,up_800,n_conf
orion_hct116,zk1,B,242,0.716213435753232,0.14365725268283014,0.5256198347107438,0.5160537190082645,0.5122055785123967,0.47150939653518803,0.5111583261911953,0.5122055785123967,0.3158677685950413,0.39557851239669417,0.4773502066115703,51.413223140495866
orion_hct116,zk1,C,242,0.7188196563903845,0.14365725268283014,0.5240495867768594,0.5160537190082646,0.5118285123966941,0.4685787363581568,0.5108010686292468,0.5118285123966941,0.3098347107438016,0.3926239669421488,0.47648760330578516,52.22727272727273
orion_hct116,zk4,A,242,0.7279757209972223,0.09233503783596451,0.5284297520661158,0.5166115702479339,0.5131818181818182,0.47334109586183964,0.5116410137555224,0.5131818181818182,0.3486776859504132,0.4280785123966942,0.4809969008264463,50.96694214876033
orion_hct116,zk4,B,242,0.7369260313432324,0.09233503783596451,0.5288429752066116,0.5170661157024794,0.5132851239669421,0.47265678443051756,0.5121305871921041,0.5132851239669421,0.3597520661157025,0.43051652892561987,0.4811673553719008,51.413223140495866
orion_hct116,zk4,C,242,0.7378862178937623,0.09233503783596451,0.53,0.5172314049586777,0.5127634297520661,0.4716578802913739,0.5119805197179681,0.5127634297520661,0.35652892561983474,0.4302066115702479,0.4808212809917355,52.22727272727273
orion_hct116,zk16,A,242,0.7530605946298137,0.03978818794894126,0.5345454545454547,0.5193595041322314,0.5139617768595042,0.47778574121282097,0.5141898073669013,0.5139617768595042,0.420495867768595,0.45975206611570246,0.4822469008264463,50.96694214876033
orion_hct116,zk16,B,242,0.7585988134837625,0.03978818794894126,0.5371900826446281,0.5208677685950414,0.5146280991735537,0.4789583461048699,0.5157202784787994,0.5146280991735537,0.4255371900826447,0.45867768595041325,0.4810795454545455,51.413223140495866
orion_hct116,zk16,C,242,0.7602277013819827,0.03978818794894126,0.5378512396694215,0.5205165289256198,0.5138946280991736,0.47767258540176133,0.5151079309612645,0.5138946280991736,0.42809917355371907,0.4604545454545455,0.48147210743801655,52.22727272727273
orion_hct116,zk64,A,242,0.7680978018586468,0.012181676824375598,0.5392561983471075,0.5214669421487603,0.5149173553719009,0.48143530407434576,0.5162574634187166,0.5149173553719009,0.457603305785124,0.4686983471074381,0.4860123966942149,50.96694214876033
orion_hct116,zk64,B,242,0.7730187579301121,0.012181676824375598,0.5423140495867768,0.5232644628099173,0.5150051652892562,0.4832550208480196,0.5181254658856642,0.5150051652892562,0.4536363636363636,0.46617768595041326,0.4849793388429752,51.413223140495866
orion_hct116,zk64,C,242,0.7716813552347314,0.012181676824375598,0.5414876033057852,0.5228719008264463,0.5146177685950413,0.4801667396533723,0.5174524995199754,0.5146177685950413,0.46123966942148764,0.4686983471074381,0.4836363636363636,52.22727272727273
orion_hct116,zk4_ivw,A,242,0.7265868797366347,0.20082431248429236,0.5358677685950414,0.5159090909090909,0.5128047520661158,0.48027609094147317,0.5108504917492952,0.5128047520661158,0.3310743801652893,0.4257231404958678,0.48029958677685947,50.96694214876033
orion_hct116,zk4_ivw,B,242,0.733668255546792,0.20082431248429236,0.5379338842975206,0.5173347107438017,0.5133522727272727,0.48002328012813333,0.5124021237106031,0.5133522727272727,0.33495867768595045,0.42857438016528926,0.48070764462809923,51.413223140495866
orion_hct116,zk4_ivw,C,242,0.7345427111553101,0.20082431248429236,0.5360330578512398,0.5167561983471075,0.5128977272727273,0.4766174379597706,0.5114932192543589,0.5128977272727273,0.3353719008264463,0.42749999999999994,0.4804700413223141,52.22727272727273
orion_hek293t,raw,A,278,0.6653507518894631,0.583924353243195,0.5252517985611511,0.518273381294964,0.5138444244604317,0.382788762183838,0.492713127676883,0.5125405323273969,0.38798561151079136,0.42473021582733816,0.46491456834532385,107.5
orion_hek293t,raw,B,278,0.6511830246993741,0.583924353243195,0.525251798561151,0.5179856115107914,0.5134397482014388,0.3847343816909196,0.4923976935173512,0.5122202684269136,0.3970503597122302,0.4347841726618705,0.4701708633093524,106.49280575539568
orion_hek293t,raw,C,278,0.6564163831389762,0.583924353243195,0.5192805755395684,0.5156474820143885,0.5129586330935253,0.3781969013309805,0.48963764374062957,0.5117028147416106,0.39215827338129494,0.43170863309352514,0.4675224820143885,107.00719424460432
orion_hek293t,zk1,A,254,0.7273505337524511,0.14525742672179737,0.5464566929133858,0.5256496062992126,0.5150984251968503,0.44124547907584216,0.5093441095732205,0.5145031389909043,0.3001574803149606,0.3929133858267716,0.4784153543307087,80.09448818897638
orion_hek293t,zk1,B,254,0.7269926239457222,0.14525742672179737,0.544488188976378,0.5260826771653543,0.5146161417322834,0.44072894443337934,0.5101843168487854,0.5140764480317637,0.31826771653543307,0.3976968503937008,0.47886811023622045,78.96850393700787
orion_hek293t,zk1,C,254,0.7261523139647069,0.14525742672179737,0.5448818897637796,0.5250590551181102,0.5149360236220473,0.4378754250544499,0.5083351868010516,0.5143165324950053,0.3073228346456693,0.394744094488189,0.47808070866141733,80.79527559055119
orion_hek293t,zk4,A,254,0.7495565030655753,0.09264696610414275,0.5488976377952757,0.5279724409448819,0.5160039370078741,0.44227471290878045,0.5111003830052193,0.5153983203659905,0.3514173228346456,0.42933070866141737,0.48269685039370075,80.09448818897638
orion_hek293t,zk4,B,254,0.7468332762752482,0.09264696610414275,0.5491338582677167,0.5281496062992125,0.5158021653543308,0.443770126259955,0.5116760629967156,0.5152517963741866,0.3606299212598425,0.43218503937007874,0.48291830708661415,78.96850393700787
orion_hek293t,zk4,C,254,0.7473934829292583,0.09264696610414275,0.5498425196850394,0.5279133858267717,0.5159448818897638,0.4413061175953978,0.5105561376014685,0.515313687468171,0.35653543307086616,0.4321653543307087,0.48281988188976377,80.79527559055119
orion_hek293t,zk16,A,254,0.7724938532881018,0.039908780532145666,0.5528346456692914,0.5291338582677165,0.5165452755905511,0.44387522230973825,0.5121031896477785,0.5159420020420517,0.421259842519685,0.4607677165354331,0.48433070866141725,80.09448818897638
orion_hek293t,zk16,B,254,0.7655690765926986,0.039908780532145666,0.554724409448819,0.529763779527559,0.5167125984251969,0.44793744965550225,0.5131235116665342,0.5161614496738571,0.4262204724409449,0.46074803149606297,0.4832185039370079,78.96850393700787
orion_hek293t,zk16,C,254,0.7684946002303074,0.039908780532145666,0.5533070866141733,0.5293110236220472,0.5168356299212599,0.44348691001117924,0.5118811261479321,0.51620214761712,0.4298425196850394,0.4628149606299213,0.4835728346456693,80.79527559055119
orion_hek293t,zk64,A,254,0.7870747875883103,0.012302580410590179,0.551023622047244,0.5294291338582676,0.5171850393700788,0.4421466256658179,0.5123804437984681,0.5165735245664013,0.45818897637795275,0.46968503937007877,0.4872391732283464,80.09448818897638
orion_hek293t,zk64,B,254,0.7750770284149264,0.012302580410590179,0.5538582677165355,0.5299803149606298,0.5175098425196851,0.4468509122292022,0.5132668769734806,0.5169513445084921,0.45724409448818903,0.4698425196850393,0.48688976377952753,78.96850393700787
orion_hek293t,zk64,C,254,0.7797298559023996,0.012302580410590179,0.5525196850393702,0.5301574803149606,0.5174163385826772,0.4424181428650881,0.5126570764999154,0.5167778615670553,0.46433070866141735,0.4723031496062992,0.4859694881889764,80.79527559055119
orion_hek293t,zk4_ivw,A,254,0.7490741028912888,0.20077352109966412,0.5490551181102361,0.528720472440945,0.5163533464566928,0.4410663130401834,0.511709027153059,0.5157448480658583,0.3337795275590551,0.4276377952755906,0.4822588582677166,80.09448818897638
orion_hek293t,zk4_ivw,B,254,0.7498210450966356,0.20077352109966412,0.551496062992126,0.529468503937008,0.5162057086614172,0.4445987253840584,0.5129187482169184,0.5156576260061168,0.33716535433070866,0.43025590551181103,0.4825246062992126,78.96850393700787
orion_hek293t,zk4_ivw,C,254,0.7518284522735053,0.20077352109966412,0.5503937007874015,0.528996062992126,0.5164616141732283,0.4411897401604995,0.5116370300416423,0.5158277673313223,0.33645669291338587,0.42976377952755906,0.48243602362204724,80.79527559055119
