target,pathway,mean_r,median_r,mean_delta_r,min_delta_r,positive_contexts,mean_delta_sign
TRAFD1,IFNB,0.002044729206303733,-0.01137803787955925,0.013019847496712816,-0.0303136258899413,3,0.03000000000000001
SOX2,IFNG,0.008437875645263134,0.00806877767925905,0.012258503511866201,-0.0465069072834697,5,-0.065
XBP1,INS,0.01300786253878517,0.01004217412603525,0.012109935531068284,-0.0403267393858582,3,0.24833333333333332
TSC22D1,IFNG,0.0119939691470113,0.005477788143303051,0.011961717300317984,-0.0075922824806306,4,0.07333333333333335
CEBPG,IFNB,0.03865416274014021,0.0350266790774346,0.011866154208473418,-0.06927753644354409,3,0.0050000000000000044
IKBKB,TGFB1,0.0239827150628628,0.022698983985902248,0.011600921409570183,-0.011200325794435001,5,-0.054999999999999966
ATF2,TGFB1,0.03817201123826302,0.03679819136205935,0.011093955680231185,-0.0184707211057288,4,-0.00999999999999999
PPP2CA,TGFB1,0.0220901772165643,0.03287812783183405,0.010941062613469032,-0.0429628561829373,4,0.013333333333333327
FOXM1,INS,0.0477334298744816,0.0385798293024409,0.010647526457273166,-0.0903029091288861,5,0.03166666666666665
HDAC5,TGFB1,0.03432766631172863,0.0393211679779202,0.010624487360813934,-0.0195182230470373,5,-0.03
ID2,IFNB,0.015247370135712715,0.01496309964845375,0.010151931592876367,-0.0282187009714524,3,0.003333333333333336
RNF114,IFNB,0.032407057768825735,0.03225059560977675,0.01002884508216225,-0.0387614063159098,5,0.006666666666666672
ID2,TNFA,0.04642963590465585,0.034567369615812596,0.009828096551782833,-0.048264526255090895,5,-0.010000000000000009
CASP10,TNFA,0.0161811483704918,0.0157634636824769,0.009666869709389283,-0.0295025978308598,3,0.04666666666666669
PTPN11,IFNG,0.0327799277698232,0.0226884376001624,0.009658133582174766,-0.0073141824796566016,4,-1.850371707708594e-17
PRDM1,IFNG,0.012780323545729019,0.01106311679929115,0.009097228984547815,-0.0236459397701634,4,-0.0050000000000000044
MYC,IFNG,0.0348270980050199,0.0338311622653229,0.009058818012371416,-0.008709214757930302,5,0.005000000000000032
STAT3,IFNB,0.012927577665686618,0.02063790931909945,0.008972968480085067,-0.0420983916871102,3,-0.001666666666666668
RBL1,TGFB1,0.01961539504061845,0.0172752588401389,0.008692863137800634,-0.011483872282449,3,0.021666666666666685
FOS,TNFA,-0.0027211306120637838,-0.0115180571333398,0.008547570212815483,-0.0159516013248748,5,0.016666666666666646
BIRC3,TNFA,0.025599172960370998,0.02704076068132745,0.00848038916503975,-0.0082689993441472,4,0.031666666666666655
SMAD6,TGFB1,0.015365421295292616,0.01642775583971985,0.008386267097678132,-0.028572375366458604,3,-9.25185853854297e-18
TAF8,INS,0.044151602097745914,0.04536394007151015,0.008289479368422833,-0.0216011373062395,4,1.850371707708594e-17
ZNFX1,IFNB,0.0245236877223175,0.0288077215304537,0.008205208570912134,-0.024407365716089497,3,0.0
EP300,TGFB1,0.016313742525718575,0.020751895637850425,0.00782792570914896,-0.0509571411487852,3,0.021666666666666667
STAT5A,IFNB,0.04237456951603457,0.04018407293334355,0.0071557001393613,-0.026636435119108702,2,0.003333333333333336
MAFF,IFNG,0.0327147299895398,0.03247563406964915,0.0071452929160627995,-0.0627385006684843,5,0.00999999999999999
MAPK8,IFNB,0.030585931390254534,0.03335513968411515,0.007019733444120983,-0.0503108763028553,4,0.0
MAPK1,TGFB1,0.022705726892203234,0.0178088340261501,0.006682488967332499,-0.029644203987599003,4,0.006666666666666654
RUNX3,TGFB1,0.01779830817612325,0.01841312370727385,0.00665721635919285,-0.003864747061582901,4,-0.011666666666666686
NFAT5,TNFA,0.02126295610078027,0.01888214749371855,0.006276192185932149,-0.013464344716741301,3,-0.04499999999999998
SMAD5,TGFB1,0.0048221404565539664,0.0016885692705121502,0.00607655231020575,-0.009817555948969702,4,0.020000000000000028
HERC5,IFNB,0.041276439930417436,0.0499657694172944,0.006027115812656182,-0.0392131989645676,4,-0.003333333333333318
NFE2L3,IFNB,0.041082516112250084,0.043541496796599855,0.0058713628018910655,-0.029513548718328904,4,0.003333333333333318
RAP1GAP,IFNB,0.03422577878321665,0.0393864830365763,0.0055378965709724495,-0.0542809528402004,4,0.0
CHUK,INS,0.038203430328125766,0.0394245603525636,0.005172094408477919,-0.026182453925890796,3,-0.0016666666666666496
AKT1,IFNB,0.034136507813280384,0.02912658936784175,0.0051600264345936005,-0.037962316603681504,4,0.0
EHF,IFNG,0.012190211591463232,0.013534639577788249,0.004969814603222599,-0.021934296589919,4,-0.01166666666666665
CUL1,IFNG,0.03963222286141988,0.037543150408789146,0.004871582182791135,-0.06059712257828129,3,-0.03166666666666664
PRKCA,TGFB1,0.03518868522459172,0.035118223160555545,0.004806710390249716,-0.042019930898093506,3,0.0
PTGES3,IFNG,-0.0020108364727168837,-0.00461828947128155,0.004710550474530166,-0.0410963070159097,4,-0.04833333333333334
MCRS1,IFNG,0.016787238267626885,0.020547045608517098,0.0046703009176411,-0.0224135872697053,3,0.17333333333333334
CEBPE,IFNG,0.0093025276260175,0.009061417150140801,0.004611743136316884,-0.0169785993918184,4,-0.07333333333333333
FOXP2,TGFB1,0.023446288929897918,0.0163882711695519,0.004489272730640032,-0.0323268866281372,3,0.006666666666666654
CEBPB,IFNG,0.0386887030655403,0.03211576273518955,0.003864953168002933,-0.0348858789243807,3,0.07
CLK1,IFNG,0.016051012545868267,0.0099580022918728,0.003609985967961233,-0.0434150285766679,3,-0.01833333333333333
IRS2,INS,0.008602308573153616,0.0026512191232497,0.003310645914060953,-0.0910035908011993,3,0.0
TRIM21,IFNB,0.005690036903932,0.010150211165343051,0.003046417511033135,-0.07696980655714039,3,0.17
ID3,IFNB,0.009178483365314067,0.00757738637554445,0.0026310761417701147,-0.09250944712707801,3,-0.01666666666666668
