held_out,shape,target,pds_gen_base,pds_gen_cis,has_neighbour_5kb
k562,t19,BCKDK,0.7300411522633744,0.7300411522633744,False
k562,t19,BCL6,0.6637860082304526,0.6637860082304526,False
k562,t19,BCL7C,0.7489711934156379,0.7489711934156379,True
k562,t19,BRD1,0.9345679012345679,0.9345679012345679,False
k562,t19,BRPF1,1.0,1.0,False
k562,t19,CAND1,0.9707818930041151,0.9707818930041151,False
k562,t19,CARM1,1.0,1.0,False
k562,t19,CAT,0.7481481481481481,0.7481481481481481,False
k562,t19,CCDC112,0.8592592592592593,0.8592592592592593,False
k562,t19,CDK8,0.920164609053498,0.920164609053498,False
k562,t19,CHD3,0.7473251028806585,0.8074074074074075,True
k562,t19,CHD6,0.7613168724279836,0.7613168724279836,False
k562,t19,CHKB,0.8987654320987654,0.8987654320987654,True
k562,t19,CLCN6,0.6917695473251029,0.7004115226337448,True
k562,t19,COIL,0.9979423868312757,0.9979423868312757,False
k562,t19,COMMD8,0.4246913580246914,0.4246913580246914,False
k562,t19,COQ10B,0.9283950617283951,0.9283950617283951,False
k562,t19,CSNK2A1,0.9983539094650207,0.9983539094650207,False
k562,t19,CYTH2,0.6506172839506172,0.6506172839506172,False
k562,t19,DBF4B,0.46255144032921813,0.46255144032921813,False
k562,t19,DBN1,0.8748971193415637,0.8748971193415637,False
k562,t19,DCAF16,0.7395061728395063,0.8872427983539094,True
k562,t19,DCP2,0.9975308641975309,0.9975308641975309,False
k562,t19,DDHD1,0.9925925925925926,0.9925925925925926,False
k562,t19,DEAF1,0.13950617283950617,0.13950617283950617,False
k562,t19,DEK,0.9094650205761317,0.9094650205761317,False
k562,t19,DHRS1,0.6991769547325104,0.7168724279835392,True
k562,t19,DHX35,0.9798353909465022,0.9798353909465022,False
k562,t19,DLAT,0.8386831275720166,0.8386831275720166,False
k562,t19,DMTF1,0.7325102880658436,0.7325102880658436,False
k562,t19,DNTTIP1,1.0,1.0,True
k562,t19,DRG2,0.7123456790123456,0.7123456790123456,False
k562,t19,DTNBP1,0.6609053497942387,0.6609053497942387,False
k562,t19,DVL3,0.12921810699588476,0.12921810699588476,False
k562,t19,E2F1,0.9983539094650205,0.9983539094650205,False
k562,t19,E2F4,0.7633744855967078,0.7633744855967078,True
k562,t19,EAPP,0.9938271604938271,0.9938271604938271,False
k562,t19,EEF1A2,0.8983539094650204,0.8983539094650204,False
k562,t19,ELK1,0.9921810699588478,0.9921810699588478,False
k562,t19,EPC2,1.0,1.0,False
k562,t19,EPM2AIP1,0.9032921810699589,0.9679012345679013,True
k562,t19,EZH2,0.979835390946502,0.979835390946502,False
