held_out,arm,target,pds
k562,linear_k25_r1,E2F1,1.0
k562,linear_k25_r1,E2F4,0.5498154981549815
k562,linear_k25_r1,EAPP,0.2324723247232472
k562,linear_k25_r1,EEF1A2,0.4464944649446494
k562,linear_k25_r1,ELK1,0.31734317343173435
k562,linear_k25_r1,EPC2,0.5202952029520296
k562,linear_k25_r1,EPM2AIP1,0.5202952029520296
k562,linear_k25_r1,EZH2,0.6974169741697417
k562,linear_k25_r1,FAM120A,0.7490774907749078
k562,linear_k25_r1,FCGRT,0.9261992619926199
k562,linear_k25_r1,FHL3,0.5239852398523985
k562,linear_k25_r1,FOXN2,0.46125461254612543
k562,linear_k25_r1,FOXO4,0.6420664206642066
k562,linear_k25_r1,FUBP3,0.22509225092250917
k562,linear_k25_r1,FXYD5,0.7121771217712177
k562,linear_k25_r1,FZD2,0.6162361623616236
k562,linear_k25_r1,GIGYF2,0.8745387453874539
k562,linear_k25_r1,GLI3,0.18450184501845024
k562,linear_k25_r1,GLYR1,0.8929889298892989
k562,linear_k25_r1,GMEB2,0.6199261992619927
k562,linear_k25_r1,GPATCH8,0.1881918819188192
k562,linear_k25_r1,GRAMD1A,0.5940959409594095
k562,linear_k25_r1,GTF2IRD1,0.6531365313653137
k562,linear_k25_r1,HDAC1,0.7601476014760148
k562,linear_k25_r1,HDAC8,0.0073800738007380184
k562,linear_k25_r1,HMGN3,0.3505535055350554
k562,linear_k25_r1,HMGN4,0.16605166051660514
k562,linear_k25_r1,HMGXB3,0.2952029520295203
k562,linear_k25_r1,HOMEZ,0.6273062730627306
k562,linear_k25_r1,HSBP1,0.940959409594096
k562,linear_k25_r1,HSP90AB1,0.5129151291512914
k562,linear_k25_r1,IFI27L2,0.14760147601476015
k562,linear_k25_r1,IFNAR2,0.6752767527675276
k562,linear_k25_r1,IFNGR2,0.6383763837638377
k562,linear_k25_r1,IL10RB,0.5867158671586716
k562,linear_k25_r1,IREB2,0.24354243542435428
k562,linear_k25_r1,KDM5A,0.7822878228782288
k562,linear_k25_r1,KHDRBS1,0.3394833948339483
k562,linear_k25_r1,KHSRP,0.8081180811808117
k562,linear_k25_r1,KIF2A,0.41697416974169743
k562,linear_k25_r1,KMT2A,0.6937269372693726
k562,linear_k25_r1,LDLR,0.30996309963099633
k562,linear_k25_r1,LENG1,0.1955719557195572
k562,linear_k25_r1,LMAN1,0.09594095940959413
k562,linear_k25_r1,LMBRD2,0.6974169741697417
k562,linear_k25_r1,LPCAT3,0.27306273062730624
k562,linear_k25_r1,MAN2A1,0.2583025830258303
k562,linear_k25_r1,MAP2K2,0.20664206642066418
k562,linear_k25_r1,MAPK12,0.5461254612546125
k562,linear_k25_r1,MARCKSL1,0.02583025830258301
k562,linear_k25_r1,MBD4,0.3468634686346863
k562,linear_k25_r1,MED13,0.96309963099631
k562,linear_k25_r1,MED15,0.7269372693726937
k562,linear_k25_r1,MED25,0.5239852398523985
k562,linear_k25_r1,MLLT10,0.5018450184501845
k562,linear_k25_r1,MSANTD4,0.8819188191881919
k562,linear_k25_r1,MSI2,0.7416974169741697
k562,linear_k25_r1,MTA1,0.0036900369003689537
k562,linear_k25_r1,MTF1,0.28044280442804426
k562,linear_k25_r1,MTHFSD,0.4206642066420664
k562,linear_k25_r1,MTM1,0.20295202952029523
k562,linear_k25_r1,MYD88,0.09225092250922506
k562,linear_k25_r1,MYPOP,0.8228782287822878
k562,linear_k25_r1,MYRF,0.08856088560885611
k562,linear_k25_r1,NABP2,0.0036900369003689537
k562,linear_k25_r1,NAIF1,0.7749077490774907
k562,linear_k25_r1,NCLN,0.5830258302583026
k562,linear_k25_r1,NFE2L1,0.08856088560885611
k562,linear_k25_r1,NGLY1,0.9225092250922509
k562,linear_k25_r1,NIPAL3,0.3505535055350554
k562,linear_k25_r1,NIPSNAP3A,0.4833948339483395
k562,linear_k25_r1,NT5DC1,0.3284132841328413
k562,linear_k25_r1,NUP37,0.07011070110701112
k562,linear_k25_r1,PAN2,0.2767527675276753
k562,linear_k25_r1,PAPOLA,0.996309963099631
k562,linear_k25_r1,PATL1,0.9040590405904059
k562,linear_k25_r1,PCGF1,0.17712177121771222
k562,linear_k25_r1,PCGF6,0.5719557195571956
k562,linear_k25_r1,PDCD4,0.7896678966789668
k562,linear_k25_r1,PDE6D,0.09963099630996308
k562,linear_k25_r1,PDK1,0.5055350553505535
k562,linear_k25_r1,PGLS,0.040590405904059046
k562,linear_k25_r1,PHF19,0.2767527675276753
k562,linear_k25_r1,PHF23,0.36900369003690037
k562,linear_k25_r1,PHF8,0.8634686346863468
k562,linear_k25_r1,PI4KB,0.06642066420664205
k562,linear_k25_r1,PIM2,0.6457564575645757
k562,linear_k25_r1,PIN1,0.1697416974169742
k562,linear_k25_r1,PINK1,0.41328413284132837
k562,linear_k25_r1,PKN3,0.8523985239852399
k562,linear_k25_r1,PLAGL2,0.5793357933579335
k562,linear_k25_r1,PLCG1,0.12915129151291516
k562,linear_k25_r1,PNP,0.2140221402214022
k562,linear_k25_r1,POLD4,0.5608856088560885
k562,linear_k25_r1,POR,0.36162361623616235
k562,linear_k25_r1,PPIF,0.7638376383763837
k562,linear_k25_r1,PPIP5K2,0.8819188191881919
k562,linear_k25_r1,PQBP1,0.977859778597786
k562,linear_k25_r1,PRDX3,0.03690036900369009
k562,linear_k25_r1,PRKAB2,0.43173431734317347
k562,linear_k25_r1,PRKACA,0.9077490774907749
k562,linear_k25_r1,PRMT2,0.5239852398523985
k562,linear_k25_r1,PRMT6,0.8523985239852399
k562,linear_k25_r1,PRMT7,0.5129151291512914
k562,linear_k25_r1,PRNP,0.36900369003690037
k562,linear_k25_r1,PSKH1,0.36162361623616235
