target,pathway,held_out,genes,pearson,cosine,blind_pearson,blind_cosine,sign_top100,blind_sign_same100
TBX21,IFNG,HT29,3475,-0.04196347479084707,-0.07056748540957339,0.014849588747820002,0.1170720269433478,0.48,0.43
TBX21,IFNG,K562,3475,0.046642668823728424,-0.23038381129572008,-0.0197634307994071,0.34751333511205507,0.41,0.51
TBX21,IFNG,MCF7,3475,-0.007934043250672785,-0.0023465506506683705,0.045153420833458115,-0.14194631241508637,0.58,0.52
GUK1,IFNG,A549,3761,0.014337551080663802,0.4228836747214163,0.10130455827606387,0.39212841421498235,0.78,0.74
GUK1,IFNG,BXPC3,3761,0.01689972659981632,0.3580977027194361,0.0273953949943697,0.028836344743048716,0.68,0.62
GUK1,IFNG,HAP1,3761,0.01601034478047885,0.5606858784776261,-0.0038797206046259805,0.37628685294313813,0.9,0.85
GUK1,IFNG,HT29,3761,-0.004822988692077251,0.29091022019016277,0.07483714080307131,0.25915156899096553,0.64,0.67
GUK1,IFNG,K562,3761,0.034887208757804024,0.20201893153279635,-0.024339854352841382,0.10838459969079585,0.66,0.62
GUK1,IFNG,MCF7,3761,0.026361490173795514,0.2836519158619785,-0.0019783448744552564,0.19676000069938407,0.64,0.62
FMNL2,IFNG,A549,3783,0.025864783783509024,0.026175268505409077,0.05034371818303142,0.0022869567147335576,0.55,0.57
FMNL2,IFNG,BXPC3,3783,0.012309690835946996,-0.023996851557718222,0.009692442857479035,0.017082687655987805,0.49,0.49
FMNL2,IFNG,HAP1,3783,-0.008353433492284571,-0.007941491982404411,0.025829557868844402,0.016300860026565528,0.46,0.46
FMNL2,IFNG,HT29,3783,0.014970272924894805,-0.007282898480995602,-0.00035024412535188197,-0.20486598309268814,0.48,0.48
FMNL2,IFNG,K562,3783,0.018513526506824588,-0.0015751776948644412,-0.002423002055768723,0.10159691601979655,0.53,0.54
FMNL2,IFNG,MCF7,3783,0.014939904975854104,-0.003684926654050537,-0.0008097213466042434,-0.1835714479160646,0.52,0.43
PPARG,IFNG,A549,3719,0.001498022233693619,0.24291770931164966,0.025166062474872533,-0.23219902314695384,0.64,0.59
PPARG,IFNG,BXPC3,3719,-0.04905886458413171,0.26189885424156845,0.041681979256945695,-0.011910951917739297,0.57,0.53
PPARG,IFNG,HAP1,3719,-0.0007636670635824669,0.2876652378308353,-0.014162038326628115,-0.23765706585047167,0.59,0.46
PPARG,IFNG,HT29,3719,0.06958629552944189,0.4102537324494552,0.02465937496986181,-0.3509933088260602,0.69,0.59
PPARG,IFNG,K562,3720,-0.012830552904222865,-0.02880507111432578,0.02167798268501479,0.03421822984715744,0.44,0.58
PPARG,IFNG,MCF7,3719,0.027758669619069053,0.10062945396420275,0.024380715374363218,-0.05790068748864034,0.51,0.54
NFKB1,IFNG,A549,4000,0.020176565045513236,0.1633223370886528,0.0437277220603878,0.14770252561349945,0.61,0.6
NFKB1,IFNG,BXPC3,4000,0.041213970070215836,0.4630550785038795,0.0534311611566411,0.05610205058611707,0.81,0.71
NFKB1,IFNG,HAP1,4000,0.0012228876952003703,0.5044555641261225,-0.027342936034777776,0.34121009529340185,0.81,0.84
NFKB1,IFNG,HT29,4001,0.0177835548567944,0.472034027518105,-0.010654510688338916,0.33498019786856403,0.76,0.73
NFKB1,IFNG,K562,4000,0.013083375382656266,0.20650071058286484,-0.017194607638476148,0.12721174990575426,0.65,0.63
NFKB1,IFNG,MCF7,4000,0.04263079514678054,-0.5857156883983857,0.002522364674106194,-0.4101292329658517,0.2,0.23
FBXO6,IFNG,A549,3874,0.03766446514493054,-0.04754867416023491,0.04022291141570614,0.297742631792244,0.4,0.5
FBXO6,IFNG,BXPC3,3874,0.0023431832714304137,-0.005999907971819489,0.010076248009297961,0.007220557876495774,0.52,0.54
FBXO6,IFNG,HAP1,3874,0.03274428133818734,0.030602424759138488,0.011878645852377965,-0.014012296786635212,0.59,0.55
FBXO6,IFNG,HT29,3874,0.031358835747366545,0.022833471601582757,0.048113871989830755,-0.057852646399948,0.52,0.5
FBXO6,IFNG,K562,3874,-0.038329880582760725,-0.03935292883374527,-0.05775320352384035,0.004908160857087599,0.47,0.53
FBXO6,IFNG,MCF7,3875,-0.028932344542090666,-0.06642421679413862,0.0214414278197851,-0.19970054789991218,0.48,0.45
IRF9,IFNG,A549,3825,0.008748465251380155,0.01719636900661213,0.011949150791798528,-0.2216631735108715,0.46,0.48
IRF9,IFNG,BXPC3,3825,-0.027673962314125083,-0.15842343977073392,0.03660114107428793,0.0575276721694922,0.34,0.38
IRF9,IFNG,HAP1,3825,0.016414123462127634,-0.3177414905350605,0.012250935827694882,0.3080870500646443,0.26,0.49
IRF9,IFNG,HT29,3825,0.04921485966339761,0.08776422412888019,0.057621864834543325,-0.22612745894500028,0.57,0.37
IRF9,IFNG,K562,3826,-0.00456267651535117,0.026448479321824557,0.034186016084738584,-0.15117347038837486,0.48,0.47
IRF9,IFNG,MCF7,3825,-0.005655428848360047,0.012211126087006757,0.008449893614877725,-0.24855119293229166,0.49,0.44
CUL1,IFNG,A549,4195,0.09351291592372261,0.4248270349561432,0.15411003850200392,0.5377480921668986,0.75,0.83
CUL1,IFNG,BXPC3,4198,0.08489633319055889,0.34755607982107495,0.04910526607690881,0.10185763620099147,0.76,0.72
CUL1,IFNG,HAP1,4193,-0.009984950815553258,-0.5586289401342426,-0.016572976111764306,-0.2718536666169523,0.26,0.31
CUL1,IFNG,HT29,4195,-0.0057172619477872414,-0.3181541359657774,0.02658438649150544,-0.20409145545015522,0.4,0.43
CUL1,IFNG,K562,4199,0.006212489379773946,0.3573230315622209,0.016636929905510973,0.4006844017137629,0.72,0.82
CUL1,IFNG,MCF7,4194,0.06887381143780448,0.4440160522730446,-0.02129980079239223,0.34903112387909613,0.81,0.78
ATF5,IFNG,A549,3513,0.02223253035589666,0.016217968110868265,0.025005888373729815,0.015920154616136148,0.48,0.5
ATF5,IFNG,BXPC3,3513,-0.0023098294987491334,0.0752263040831763,0.04406335416765228,0.04480977757022308,0.57,0.5
ATF5,IFNG,HAP1,3513,-0.01769679442435901,-0.03365971037275961,-0.0031602644188469717,0.32112865671198654,0.51,0.53
ATF5,IFNG,HT29,3513,0.048642085610126236,0.08749458160916193,0.04767756191888449,0.0939805807031115,0.62,0.64
ATF5,IFNG,K562,3514,0.0015929388744055349,-0.006617381317479542,-0.01394497164222638,-0.02052923778591664,0.55,0.56
ATF5,IFNG,MCF7,3513,-0.02101165917054227,-0.17978561928405387,0.0006768603937227635,-0.18406526942180182,0.38,0.36
STAT2,IFNG,A549,3871,0.02961016512614407,0.08869145776504342,0.0470372459938719,-0.24215478943781302,0.67,0.45
STAT2,IFNG,BXPC3,3871,-0.006275793416627466,0.04181085433060241,0.01075746885366683,0.004406715041386458,0.56,0.52
STAT2,IFNG,HAP1,3871,-0.028334623528996527,-0.2343288122407699,-8.809416034161642e-05,0.22295334028205926,0.33,0.53
STAT2,IFNG,HT29,3871,-0.021429995148628134,0.006616963637260795,0.0208887580253377,-0.03806309870106419,0.53,0.55
STAT2,IFNG,K562,3872,-0.03482199959249992,-0.13159991694525003,-0.044808223262003136,0.12771727559339097,0.4,0.48
STAT2,IFNG,MCF7,3871,-0.038932261080576507,0.038534069342437666,-0.015857257431603673,-0.4421572899368924,0.65,0.44
MAFF,IFNG,A549,4041,0.04662711078248582,0.08193128937835731,0.04102401552577396,0.07422025524920044,0.63,0.62
MAFF,IFNG,BXPC3,4041,0.04435238033336642,0.09473573990512242,0.10709088100185078,0.07334069709003592,0.63,0.65
MAFF,IFNG,HAP1,4041,-0.005341013719321374,0.27447482783634647,-0.014086029506606798,0.1560924281722821,0.58,0.53
MAFF,IFNG,HT29,4041,0.0717263549752824,0.29368314926072453,0.03270523087810236,0.21242598385751052,0.62,0.58
MAFF,IFNG,K562,4041,0.02059888780593195,-0.4169061603416559,-0.027746501021234053,-0.3159658582657976,0.29,0.33
MAFF,IFNG,MCF7,4041,0.01832465975949368,0.09838641075624312,0.014429025562975855,0.07951011868698382,0.52,0.5
CLK1,IFNG,A549,3895,0.07107106833779915,0.058879910419185784,0.04305207420013052,0.4714838236533982,0.51,0.65
CLK1,IFNG,BXPC3,3894,0.022105868592645763,0.16765135110108748,0.028553791329891685,0.05458721287705347,0.54,0.54
CLK1,IFNG,HAP1,3894,0.007988711861573851,0.021126594520648013,0.05140374043824175,0.058750085486733106,0.53,0.53
CLK1,IFNG,HT29,3894,0.011927292722171863,-0.28457215319553014,-0.015521917250419279,-0.3004177263291855,0.32,0.32
CLK1,IFNG,K562,3896,-0.016866891091399775,-0.05498262638639133,-0.0355478046275388,-0.07475494934740076,0.5,0.47
CLK1,IFNG,MCF7,3894,8.002485241889592e-05,-0.03238341275979906,0.00270627537713644,-0.03658925789816007,0.5,0.5
MCRS1,IFNG,A549,3854,0.027100855145227,0.28024944432988236,0.013676807516194734,-0.28975969624659914,0.68,0.35
MCRS1,IFNG,BXPC3,3854,0.016536770744598882,-0.6358675509671683,0.03895035801430416,0.11509464547680003,0.16,0.48
MCRS1,IFNG,HAP1,3856,-0.0006812240731152299,0.22095981186968697,-0.022959095980197873,-0.20398997813377356,0.59,0.49
MCRS1,IFNG,HT29,3854,0.008044058341727138,0.3495183658004714,-0.029695386800400722,-0.4548126013961139,0.7,0.42
MCRS1,IFNG,K562,3855,0.024557320472435428,0.2804423213603285,0.029581933226830552,-0.28441087079139676,0.76,0.45
MCRS1,IFNG,MCF7,3854,0.0251656489748882,0.38329379663219,0.04314700812318394,-0.4299514133289545,0.77,0.43
HLX,IFNG,A549,4119,-0.014484931567923938,-0.02317096044018895,-0.019493359057113774,-0.02633685994098252,0.43,0.44
HLX,IFNG,BXPC3,4119,-0.029153816637245616,-0.02334096480556022,0.02847153044712025,0.0542898722952147,0.33,0.42
HLX,IFNG,HAP1,4117,0.01711079155416799,0.04953776099243475,0.003044786709568411,0.024305589504998067,0.46,0.49
HLX,IFNG,HT29,4118,0.016048779847949127,-0.1588052655809674,0.0020005704390660267,-0.11640162365817712,0.44,0.44
HLX,IFNG,K562,4118,0.015111824322094172,0.18819106718277254,-0.004842082059011543,0.1321415608588926,0.55,0.57
HLX,IFNG,MCF7,4117,-0.008593117242579919,-0.12624426251625723,-0.01986702129155196,-0.10677596166154561,0.48,0.49
BATF2,IFNG,A549,3780,-0.004093344621319707,-0.06757403576968087,0.0017419015845874517,-0.04988070751113503,0.48,0.48
BATF2,IFNG,BXPC3,3780,-0.041497939682579005,0.3852299051764443,-0.011458799054622118,-0.006171497262637589,0.79,0.71
BATF2,IFNG,HAP1,3780,-0.024782959093515647,0.4550566727059666,-0.07151820409838902,0.3121145501485239,0.81,0.77
BATF2,IFNG,HT29,3780,0.02168457368831093,0.2890763569939001,0.022393526089453115,0.23151721111284718,0.66,0.71
BATF2,IFNG,K562,3780,-0.03220508481360921,-0.11257636935042559,0.011073083683453923,-0.06151933332273802,0.38,0.4
BATF2,IFNG,MCF7,3780,-0.0016891728136452,0.4918074348377942,0.008585853861974076,0.464891364765399,0.75,0.75
SP100,IFNG,A549,3392,0.011955476371996525,0.11743218779965534,0.03530977786942398,0.13694497518806495,0.56,0.56
SP100,IFNG,BXPC3,3392,0.06486660071252233,0.3590893919980375,0.034204681275557106,0.03398043663113454,0.79,0.76
SP100,IFNG,HAP1,3392,0.02588754100825718,0.2871929673659239,-0.007717178068120519,0.2545950649823269,0.68,0.66
SP100,IFNG,HT29,3392,0.14017844360541473,0.29748349371516336,0.06549011456727705,0.23644353960892003,0.74,0.76
SP100,IFNG,K562,3392,0.02841102484108029,0.14115586031827934,-0.01947050993917408,0.10252743659108678,0.55,0.56
SP100,IFNG,MCF7,3392,0.04396581985334427,-0.25260486021806866,0.01936280571331418,-0.23568290691710223,0.35,0.37
SRC,IFNG,A549,3812,0.05800584060174423,0.26571995183144226,0.059323980769877424,0.24985053688433048,0.64,0.62
SRC,IFNG,BXPC3,3812,-0.011115679419446398,0.34915285400406865,0.012063981321552763,0.013102731135715041,0.66,0.61
SRC,IFNG,HAP1,3812,0.03423188472142009,0.3576067033029233,-0.011163655922162296,0.21867430030578966,0.73,0.72
SRC,IFNG,HT29,3812,0.08647616010138386,0.4692761132576547,0.03132536598556015,0.39185871423551566,0.78,0.76
SRC,IFNG,K562,3812,0.045833477877001524,-0.25031181640389183,0.009324722803250505,-0.19917088780085723,0.4,0.43
SRC,IFNG,MCF7,3812,0.03659047453456866,0.4837227825027112,0.041090216778394015,0.4792536009063426,0.82,0.81
ZC3H3,IFNG,A549,3923,0.07737076596667655,-0.01962531532680717,0.03523398227482033,-0.10064474188397689,0.57,0.55
ZC3H3,IFNG,BXPC3,3922,0.19719759402474119,0.2168171460864722,0.057951889296055485,0.0641416431270299,0.8,0.54
ZC3H3,IFNG,HAP1,3922,0.1199729388391345,0.17449689951320158,-0.00498123026307663,0.23124506957568022,0.65,0.63
ZC3H3,IFNG,HT29,3922,0.2893844139326429,0.36474901849686836,0.09993272768024247,0.27090081502464947,0.81,0.77
ZC3H3,IFNG,K562,3923,0.1705360929565559,-0.13828629609134852,0.08213389123614105,-0.21594663664082697,0.5,0.47
ZC3H3,IFNG,MCF7,3922,0.12082827590772417,0.1589099650671435,0.026582909036868694,0.10342368062712641,0.67,0.65
JAK1,IFNG,A549,3889,0.42476023025834286,0.38525310126099443,0.08341402871513107,0.02645858664538985,0.9,0.7
JAK1,IFNG,BXPC3,3889,0.5192745653442894,0.362630000776555,0.15247006228423018,0.1492400232137604,0.84,0.78
JAK1,IFNG,HAP1,3889,0.43810814723277736,0.3851298448441115,0.13368504426777067,0.07426121624990563,0.85,0.7
JAK1,IFNG,HT29,3889,0.5661473104620148,0.5536922172037341,0.21473734113922688,0.19819986188861055,0.89,0.66
JAK1,IFNG,K562,3889,0.39035551758193004,0.4265839507935968,0.11392209180316784,0.2908250086488169,0.78,0.67
JAK1,IFNG,MCF7,3889,0.2524010103752953,0.08013464505873266,0.1072959950473186,-0.19254599200023573,0.79,0.61
ZNF267,IFNG,A549,3791,0.01256010061817335,0.03192835657771493,0.03589749343125993,-0.022034265230379196,0.46,0.5
ZNF267,IFNG,BXPC3,3791,0.042305064145775284,-0.05611603900285443,0.003892865467488604,-0.016821254636586392,0.5,0.44
ZNF267,IFNG,HAP1,3791,-0.006677523646326557,-0.3350219803598275,0.0009556116017185436,0.28739729171697365,0.24,0.48
ZNF267,IFNG,HT29,3792,0.02183076210054337,0.026464374107148858,0.0016141780490344527,-0.010591644557072594,0.53,0.53
ZNF267,IFNG,K562,3791,0.03346047717204948,0.0792001707698448,0.0122750088483884,-0.1549120344061627,0.66,0.52
ZNF267,IFNG,MCF7,3791,0.021419255537695542,0.043648344385648546,-0.00979215936190814,-0.06471504215741108,0.56,0.46
HLA-DQB1,IFNG,A549,3826,-0.053355259311094395,0.2576756496600724,-0.01482210696072008,0.2681603774042355,0.63,0.59
HLA-DQB1,IFNG,BXPC3,3826,-0.04452408578975463,0.3310924386856412,0.02054797164243299,0.051475654282738856,0.83,0.69
HLA-DQB1,IFNG,HAP1,3826,-0.03384619090397373,0.18736467471732562,-0.05939875945317456,0.086372186238984,0.58,0.54
HLA-DQB1,IFNG,HT29,3826,-0.0020899730944138133,0.32708671711566645,0.003467752269106413,0.28321336195453867,0.64,0.66
HLA-DQB1,IFNG,K562,3826,-0.0042438218153829955,-0.2496030596280503,0.028002405041136196,-0.16907236412322926,0.38,0.38
