target,rows,guides,donors,conditions,cells
RABEP2,24,2,4,3,2396.0
RBM18,24,2,4,3,706.0
RBM26,24,2,4,3,742.0
RBM4B,24,2,4,3,2864.0
RBM5,24,2,4,3,1652.0
RC3H2,24,2,4,3,1362.0
REV1,11,2,3,3,125.0
RFK,20,2,4,3,708.0
RNF10,24,2,4,3,1126.0
RNF141,24,2,4,3,2167.0
RNF2,19,2,4,3,758.0
RSRC1,23,2,4,3,1518.0
S100A11,24,2,4,3,1222.0
SAP30L,19,2,4,3,1252.0
SCAF8,23,2,4,3,926.0
SEMA4F,17,2,4,3,644.0
SFXN4,21,2,4,3,2769.0
SH2D3A,24,2,4,3,2687.0
SHPRH,24,2,4,3,2088.0
SIN3B,24,2,4,3,2550.0
SLC25A13,22,2,4,3,1289.0
SLC39A1,24,2,4,3,4303.0
SLC44A1,24,2,4,3,1359.0
SLIRP,23,2,4,3,1185.0
SMARCA5,23,2,4,3,485.0
SMARCC2,21,2,4,3,716.0
SMYD2,17,2,4,3,973.0
SND1,22,2,4,3,1060.0
SNN,24,2,4,3,1597.0
SNRK,22,2,4,3,1125.0
SNX4,15,2,4,3,1409.0
SOCS5,22,2,4,3,555.0
SPATA20,23,2,4,3,968.0
SRSF5,24,2,4,3,4427.0
SSR4,21,2,4,3,2994.0
STAT6,24,2,4,3,2035.0
STK3,14,2,4,3,75.0
STT3A,24,2,4,3,1349.0
SUPT7L,24,2,4,3,7107.0
SYVN1,20,2,4,3,794.0
TAF15,21,2,4,3,1486.0
TAF4,18,2,4,3,79.0
TARBP2,24,2,4,3,1111.0
TBC1D13,20,2,4,3,1690.0
TBC1D19,21,2,4,3,883.0
TBCK,23,2,4,3,1823.0
TDRD7,22,2,4,3,789.0
TEAD4,21,2,4,3,2476.0
TESK2,24,2,4,3,4999.0
TEX2,21,2,4,3,2232.0
TFCP2,21,2,4,3,1160.0
THAP3,24,2,4,3,1911.0
THAP7,21,2,4,3,2225.0
TIMM17B,19,2,4,3,649.0
TIMM50,15,2,4,3,150.0
TMCO6,21,2,4,3,1380.0
TMED3,24,2,4,3,1703.0
TMEM104,24,2,4,3,2074.0
TMEM147,21,2,4,3,2414.0
TMEM186,21,2,4,3,2005.0
TMEM209,21,2,4,3,2251.0
TMEM41B,23,2,4,3,1071.0
TMEM79,21,2,4,3,1064.0
TMF1,24,2,4,3,1977.0
TRAPPC6A,24,2,4,3,1840.0
TRIB3,24,2,4,3,991.0
TRIM35,24,2,4,3,1347.0
TRIP4,11,2,3,3,921.0
TRMT1,24,2,4,3,1691.0
