held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,pds_minus_base,pds_minus_base_ci95,pds_minus_base_nb_targets,reach_minus_base,reach_minus_base_ci95,reach_minus_base_nb_targets,pairs,pairs_measured,targets_with_pair
cd4_mix,t19,cis_med_add1_2kb,292,0.6890740479216683,0.0073174227526448385,0.522568493150685,0.21721108566689562,1.2617052358062115,0.0029421456479781566,"[0.0015534529021324654, 0.004425281269123944]",0.011454753722794956,0.00010147622292210455,"[3.180501459734482e-05, 0.00019912680986248306]",0.0003950807612433937,60.0,54.0,60.0
cd4_mix,t19,cis_med_add2_2kb,292,0.6921221108129737,0.007335998783942718,0.522568493150685,0.21721108566689562,1.261807994150554,0.005990208539283529,"[0.00330667749376265, 0.009250400131808124]",0.023321878579610537,0.0001200522542199843,"[4.8738338919243446e-05, 0.00021983050849340454]",0.00046740344309647224,60.0,54.0,60.0
cd4_mix,t19,cis_med_add4_2kb,292,0.6972296756578638,0.007365879346363573,0.522568493150685,0.21721108566689562,1.26249612662537,0.011097773384173608,"[0.005695699759920916, 0.017076213340865225]",0.04320733104238258,0.00014993281664083915,"[7.368136850682114e-05, 0.0002530422402215448]",0.0005837384327883338,60.0,54.0,60.0
cd4_mix,t19,cis_mean_add1_2kb,292,0.6911335498752531,0.007335998783942718,0.522568493150685,0.21721108566689562,1.2617555393614264,0.005001647601562869,"[0.002788859859718495, 0.007626041519559384]",0.019473081328751432,0.0001200522542199843,"[4.7675651766168325e-05, 0.000214083151588975]",0.00046740344309647224,60.0,54.0,60.0
cd4_mix,t19,cis_mean_add2_2kb,292,0.695582074094996,0.007365879346363573,0.522568493150685,0.21721108566689562,1.2622185860225994,0.009450171821305841,"[0.00488278491738455, 0.014416807889657768]",0.03679266895761741,0.00014993281664083915,"[7.154489571653068e-05, 0.0002484774982698047]",0.0005837384327883338,60.0,54.0,60.0
cd4_mix,t19,cis_meas_2kb,292,0.6851786470837452,0.007207378568496351,0.5223972602739727,0.21711655442729375,1.261866873489669,-0.000953255189944922,"[-0.0019421103422303813, -9.385444617050339e-05]",-0.0037113402061855626,-8.567961226382435e-06,"[-2.2624155680724123e-05, 0.0]",-3.3357929041382276e-05,60.0,54.0,60.0
cd4_mix,t19,cis_shuffled_2kb,292,0.6861907451866496,0.0072159465297227336,0.5224486301369863,0.21716808943838306,1.262067744248145,5.884291295956294e-05,"[-0.00024714023443016476, 0.00042366897330885396]",0.00022909507445589838,0.0,"[0.0, 0.0]",0.0,60.0,54.0,60.0
cd4_mix,t19,cis_med_add1_5kb,292,0.6890858165042602,0.0073174227526448385,0.522568493150685,0.21721151284544044,1.2617007213975566,0.0029539142305700693,"[0.0016240643976839421, 0.004507367132702536]",0.011500572737686137,0.00010147622292210455,"[3.0770293662152624e-05, 0.00019915975499320963]",0.0003950807612433937,76.0,69.0,75.0
cd4_mix,t19,cis_med_add2_5kb,292,0.6922633338040767,0.007335998783942718,0.5225513698630138,0.21720558783240543,1.261802942240418,0.00613143153038648,"[0.0033655204067222113, 0.009168020053664737]",0.023871706758304693,0.0001200522542199843,"[4.638494855148261e-05, 0.00021417095539063202]",0.00046740344309647224,76.0,69.0,75.0
cd4_mix,t19,cis_med_add4_5kb,292,0.6974297415619263,0.007368191741727682,0.5225513698630138,0.21720558783240543,1.2625019304763014,0.011297839288236123,"[0.006212928964835473, 0.017488407946146964]",0.04398625429553263,0.00015224521200494893,"[7.836219705848447e-05, 0.00025031965760198023]",0.0005927413587392679,76.0,69.0,75.0
cd4_mix,t19,cis_mean_add1_5kb,292,0.691274772866356,0.007335998783942718,0.5225513698630138,0.21720558783240543,1.2617512009809793,0.005142870592665818,"[0.0028706515087322864, 0.007814633055594782]",0.020022909507445584,0.0001200522542199843,"[4.468108258909224e-05, 0.00021826958379524085]",0.00046740344309647224,76.0,69.0,75.0
cd4_mix,t19,cis_mean_add2_5kb,292,0.6958174457468344,0.007368191741727682,0.5225513698630138,0.21720558783240543,1.2622316209644155,0.009685543473144093,"[0.005353528221061055, 0.014676305135809437]",0.037709049255441,0.00015224521200494893,"[7.420685472470093e-05, 0.00025289902511461585]",0.0005927413587392679,76.0,69.0,75.0
cd4_mix,t19,cis_meas_5kb,292,0.6851551099185614,0.007204864135651823,0.5223972602739727,0.21711655442729375,1.2618725561510808,-0.0009767923551287471,"[-0.0018832674292708178, -0.0001412229911029499]",-0.003802978235967922,-1.1082394070910023e-05,"[-2.5138588525251714e-05, 0.0]",-4.314745424940969e-05,76.0,69.0,75.0
cd4_mix,t19,cis_shuffled_5kb,292,0.6862142823518336,0.007221515078558908,0.5224143835616439,0.2171185693183989,1.2620764633984976,8.238007814338736e-05,"[-0.00011768582591912817, 0.0003295203125735532]",0.00032073310423825477,5.5685488361732935e-06,"[0.0, 1.670564650851988e-05]",2.168021680216802e-05,76.0,69.0,75.0
orion_hct116,t16,base,265,0.6948542024013722,0.036792859802304526,0.5058679245283019,0.4958904731948886,1.2153753503963785,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,,,
orion_hct116,t16,cis_med_add1_2kb,265,0.6965265866209261,0.03692542950315053,0.5058867924528302,0.4959093411194169,1.2154621756307609,0.0016723842195540328,"[0.000742924528301887, 0.0028301886792452824]",0.006614654002713711,0.00013256970084600403,"[0.0, 0.0003337500363403786]",0.0005243428466297174,53.0,46.0,53.0
orion_hct116,t16,cis_med_add2_2kb,265,0.6984276729559749,0.03692542950315053,0.5059056603773585,0.4959282090439452,1.2156340081867123,0.003573470554602632,"[0.0016866781017724425, 0.005960548885077187]",0.014133876074174588,0.00013256970084600403,"[0.0, 0.00033840160479111546]",0.0005243428466297174,53.0,46.0,53.0
orion_hct116,t16,cis_med_add4_2kb,265,0.7015866209262436,0.03692542950315053,0.5059056603773585,0.4959282090439452,1.2162326953236864,0.006732418524871355,"[0.003030303030303031, 0.011164236706689534]",0.026628222523744912,0.00013256970084600403,"[0.0, 0.0003337500363403786]",0.0005243428466297174,53.0,46.0,53.0
orion_hct116,t16,cis_mean_add1_2kb,265,0.6979845626072041,0.03692542950315053,0.5059056603773585,0.4959282090439452,1.2155787612300457,0.003130360205831907,"[0.0015008576329331078, 0.00514579759862779]",0.012381275440976947,0.00013256970084600403,"[0.0, 0.0003337500363403786]",0.0005243428466297174,53.0,46.0,53.0
orion_hct116,t16,cis_mean_add2_2kb,265,0.7007432818753573,0.03692542950315053,0.5059056603773585,0.4959282090439452,1.2160329368122422,0.005889079473985136,"[0.0027873070325900523, 0.009577973127501426]",0.02329262777023972,0.00013256970084600403,"[0.0, 0.0003337500363403786]",0.0005243428466297174,53.0,46.0,53.0
orion_hct116,t16,cis_meas_2kb,265,0.6961120640365923,0.036856818868502166,0.5058679245283019,0.4958904731948886,1.2154548256954685,0.0012578616352201277,"[0.00048599199542595853, 0.0021869639794168125]",0.00497512437810946,6.395906619763352e-05,"[0.0, 0.00019187719859290055]",0.00025297242600556537,53.0,46.0,53.0
orion_hct116,t16,cis_shuffled_2kb,265,0.6944968553459119,0.036792859802304526,0.5058867924528302,0.4959271613732882,1.2155426377480314,-0.0003573470554602623,"[-0.0010291595197255577, 0.0003001715265866236]",-0.0014133876074174552,0.0,"[0.0, 0.0]",0.0,53.0,46.0,53.0
