held_out,target,pds_raw,pds_zk64,gain_zk64,predictor_sources,predictor_cells,predictor_max_abs_z
k562,NAIF1,1.0,1.0,0.0,3,2626.0,18.08304786682129
k562,NCLN,0.9185185185185185,0.8296296296296296,-0.0888888888888889,3,2375.0,8.527778625488281
k562,NFE2L1,0.18518518518518523,0.22592592592592597,0.040740740740740744,3,799.0,6.8403239250183105
k562,NGLY1,0.9962962962962963,0.762962962962963,-0.2333333333333334,3,627.0,6.4672932624816895
k562,NIPAL3,0.8148148148148149,0.7148148148148148,-0.10000000000000009,3,2459.0,11.296324729919434
k562,NIPSNAP3A,0.37777777777777777,0.1333333333333333,-0.24444444444444446,2,1087.0,5.4762396812438965
k562,NT5DC1,0.6333333333333333,0.737037037037037,0.10370370370370374,3,2815.0,11.854132652282715
k562,NUP37,0.9925925925925926,0.7962962962962963,-0.1962962962962963,3,1006.0,13.29096794128418
k562,PAN2,1.0,1.0,0.0,3,2180.0,9.50656795501709
k562,PAPOLA,1.0,1.0,0.0,3,1576.0,9.84407901763916
k562,PATL1,0.8703703703703703,1.0,0.12962962962962965,3,1729.0,8.874495506286621
k562,PCGF1,1.0,1.0,0.0,3,5203.0,8.965348243713379
k562,PCGF6,1.0,1.0,0.0,3,1333.0,11.803547859191895
k562,PDCD4,0.31481481481481477,0.41481481481481486,0.10000000000000009,3,1656.0,6.346729278564453
k562,PDE6D,0.674074074074074,0.09259259259259256,-0.5814814814814815,3,694.0,8.589581489562988
k562,PDK1,0.37777777777777777,0.1777777777777778,-0.19999999999999996,3,1066.0,6.640512466430664
k562,PGLS,0.2407407407407407,0.5259259259259259,0.2851851851851852,2,194.0,9.612577438354492
k562,PHF19,0.4925925925925926,0.19259259259259254,-0.30000000000000004,3,1234.0,11.084291458129883
k562,PHF23,1.0,1.0,0.0,3,838.0,5.9315032958984375
k562,PHF8,1.0,0.8888888888888888,-0.11111111111111116,3,1364.0,7.290748119354248
k562,PI4KB,0.7666666666666666,0.7333333333333334,-0.033333333333333215,3,615.0,7.6426801681518555
k562,PIM2,0.9518518518518518,0.8111111111111111,-0.14074074074074072,3,2272.0,9.124506950378418
k562,PIN1,0.19259259259259254,0.11111111111111116,-0.08148148148148138,3,255.0,7.298740863800049
k562,PINK1,0.8333333333333334,0.7888888888888889,-0.04444444444444451,3,2304.0,8.347004890441895
k562,PKN3,0.7703703703703704,0.837037037037037,0.06666666666666665,2,2069.0,7.833251953125
k562,PLAGL2,0.9851851851851852,0.8333333333333334,-0.1518518518518518,3,610.0,5.87070369720459
k562,PLCG1,0.2962962962962963,0.9037037037037037,0.6074074074074074,3,1394.0,10.79953670501709
k562,PNP,0.6407407407407407,0.5222222222222221,-0.11851851851851858,3,2537.0,14.390884399414062
k562,POLD4,0.4444444444444444,0.7037037037037037,0.2592592592592593,3,3226.0,11.063621520996094
k562,POR,0.8888888888888888,0.9481481481481482,0.059259259259259345,3,1366.0,6.055849075317383
k562,PPIF,0.8481481481481481,1.0,0.1518518518518519,3,1528.0,14.24889087677002
k562,PPIP5K2,0.25555555555555554,1.0,0.7444444444444445,3,5079.0,9.346487045288086
k562,PQBP1,1.0,1.0,0.0,3,1445.0,19.451581954956055
k562,PRDX3,0.9296296296296296,0.9925925925925926,0.062962962962963,3,4439.0,19.531774520874023
k562,PRKAB2,0.5925925925925926,0.9925925925925926,0.4,3,2474.0,18.365962982177734
k562,PRKACA,0.2592592592592593,0.9185185185185185,0.6592592592592592,3,3392.0,7.758469581604004
k562,PRMT2,0.9888888888888889,0.9962962962962963,0.007407407407407418,3,1534.0,10.158608436584473
k562,PRMT6,1.0,1.0,0.0,3,1163.0,8.147522926330566
k562,PRMT7,0.9962962962962963,0.9777777777777777,-0.0185185185185186,3,485.0,14.781734466552734
k562,PRNP,0.9,0.9851851851851852,0.08518518518518514,3,2429.0,10.35235595703125
k562,PSKH1,0.5037037037037038,0.7925925925925926,0.28888888888888886,3,4031.0,7.618306636810303
k562,PTMS,0.9925925925925926,1.0,0.007407407407407418,3,2700.0,30.381601333618164
k562,PTOV1,0.4,0.6185185185185185,0.21851851851851845,3,2004.0,5.596656322479248
k562,PYCR1,0.07777777777777772,0.19999999999999996,0.12222222222222223,3,1038.0,10.433156967163086
k562,R3HCC1L,1.0,0.9851851851851852,-0.014814814814814836,2,1464.0,5.106848239898682
k562,RAB5A,0.9703703703703703,0.8481481481481481,-0.12222222222222223,2,1643.0,6.316241264343262
