held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,pds_minus_base,pds_minus_base_ci95,pds_minus_base_nb_targets,reach_minus_base,reach_minus_base_ci95,reach_minus_base_nb_targets
k562,none,cis_only_10kb,271,0.5623069564028973,0.0022054525292959696,,,0.9997615554990575,,,,,,
cd4_mix,t16,base,292,0.6718683801722921,0.004712062324905056,0.5160102739726027,0.2127481868273892,1.4273271645513714,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0
cd4_mix,t16,cis_replace_2kb,292,0.672692180953726,0.004735068188622737,0.5161643835616438,0.2128300561635533,1.4274466961997083,0.0008238007814338853,"[-0.0028715341524266805, 0.0035426375747305006]",0.003207331042382594,2.3005863717680077e-05,"[-4.264652490849945e-05, 9.10418234876644e-05]",8.956949607416778e-05
cd4_mix,t16,cis_min_2kb,292,0.6742691710210423,0.004775513026174424,0.5161815068493151,0.2128356520091975,1.4272882591765588,0.002400790848750177,"[0.0009179494421691856, 0.004272289695429082]",0.009347079037800689,6.345070126936732e-05,"[1.3172061936435674e-05, 0.00011965659149474372]",0.0002470347302754035
cd4_mix,t16,cis_fill_2kb,292,0.672009603163395,0.004714928147109446,0.5160273972602739,0.21275106585721154,1.4273290038045352,0.0001412229911029518,"[0.0, 0.0004236689733088555]",0.0005498281786941591,2.8658222043904396e-06,"[0.0, 8.597466613171319e-06]",1.1157601115760111e-05
cd4_mix,t16,cis_add_2kb,292,0.6774113825730829,0.004818958145636669,0.5161815068493151,0.2128356520091975,1.4270959616784447,0.005543002400790849,"[0.00317722308525161, 0.008238007814338841]",0.021580756013745706,0.00010689582073161306,"[4.909563849895649e-05, 0.0001730463758088298]",0.00041618106204841345
cd4_mix,t16,cis_shuffled_2kb,292,0.6717624629289648,0.004725927335165164,0.5161301369863013,0.21278829573466682,1.427552851665075,-0.00010591724332721368,"[-0.00036482606034929176, 0.00010591724332721368]",-0.0004123711340206186,1.3865010260107593e-05,"[0.0, 4.159503078032278e-05]",5.398110661268556e-05
cd4_mix,t16,cis_replace_5kb,292,0.6725391893800311,0.004722328658079203,0.5161472602739725,0.2128241413837014,1.427469950487915,0.0006708092077390209,"[-0.003012757143529632, 0.00340112036906275]",0.0026116838487972548,1.0266333174145624e-05,"[-5.310278573129207e-05, 7.823769927812067e-05]",3.997025715800696e-05
cd4_mix,t16,cis_min_5kb,292,0.6742574024384503,0.004775513026174424,0.5161643835616437,0.2128297372293456,1.427289589863768,0.0023890222661582645,"[0.0008944122769853616, 0.00421344678246952]",0.00930126002290951,6.345070126936732e-05,"[1.2308952212576497e-05, 0.00012131765731953241]",0.0002470347302754035
cd4_mix,t16,cis_fill_5kb,292,0.672009603163395,0.004714928147109446,0.5160273972602739,0.21275106585721154,1.4273290038045352,0.0001412229911029518,"[0.0, 0.0004236689733088555]",0.0005498281786941591,2.8658222043904396e-06,"[0.0, 8.597466613171319e-06]",1.1157601115760111e-05
cd4_mix,t16,cis_add_5kb,292,0.6775172998164101,0.0048244533082259155,0.5161643835616437,0.2128297372293456,1.4270713356734777,0.005648919644118063,"[0.0033305088735112753, 0.008227121875441319]",0.02199312714776632,0.00011239098332085905,"[5.340335773088874e-05, 0.000181230395837218]",0.00043757556172921127
cd4_mix,t16,cis_shuffled_5kb,292,0.6718095372593325,0.004715245092130193,0.5161472602739726,0.21277227308500013,1.4275587435348795,-5.884291295956332e-05,"[-0.0003530574777573788, 0.00018829732147060104]",-0.00022909507445589988,3.1827672251362222e-06,"[0.0, 9.548301675408667e-06]",1.2391573729863692e-05
cd4_mix,t16,cis_replace_10kb,292,0.672421503554112,0.004702070854899786,0.5160958904109588,0.2128035469453978,1.4274714425703885,0.000553123381819895,"[-0.003237242856470363, 0.003331685731770461]",0.002428407789232535,-9.991470005270261e-06,"[-8.345171477381073e-05, 6.543399791051812e-05]",3.997025715800696e-05
cd4_mix,t16,cis_min_10kb,292,0.6743633196817775,0.004775513026174424,0.5161643835616437,0.21282871815392795,1.4272832171686858,0.0024949395094854784,"[0.0010591724332721364, 0.00433142682295344]",0.00930126002290951,6.345070126936732e-05,"[1.274435780234515e-05, 0.00012440563599237024]",0.0002470347302754035
cd4_mix,t16,cis_fill_10kb,292,0.672021371745987,0.004714928147109446,0.5160273972602739,0.2127500467817939,1.4273248712537976,0.0001529915736948644,"[0.0, 0.00043573177046556425]",0.0005498281786941591,2.8658222043904396e-06,"[0.0, 8.597466613171319e-06]",1.1157601115760111e-05
cd4_mix,t16,cis_add_10kb,292,0.6779292002071271,0.004835302015125519,0.5162157534246575,0.2128604454928322,1.427065558858282,0.006060820034835005,"[0.003683566351268654, 0.008779656828131617]",0.0222680412371134,0.00012323969022046296,"[5.957022535097517e-05, 0.00019447637519292912]",0.00044873316284497133
