held_out,shape,arm,target,pds,reach,has_neighbour_5kb
cd4_mix,t19,cis_min_5kb,ZNF410,0.9759450171821306,0.004332129963898917,False
cd4_mix,t19,cis_min_5kb,ZNF444,0.6941580756013745,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF462,0.9896907216494846,0.004651162790697674,False
cd4_mix,t19,cis_min_5kb,ZNF496,0.05154639175257736,0.0,True
cd4_mix,t19,cis_min_5kb,ZNF507,1.0,0.017105263157894738,False
cd4_mix,t19,cis_min_5kb,ZNF514,0.6254295532646048,0.0011173184357541898,True
cd4_mix,t19,cis_min_5kb,ZNF526,0.3883161512027491,0.00949367088607595,True
cd4_mix,t19,cis_min_5kb,ZNF530,0.9896907216494846,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF543,0.8969072164948454,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF627,0.6013745704467354,0.006201550387596899,True
cd4_mix,t19,cis_min_5kb,ZNF628,0.8797250859106529,0.0013717421124828531,False
cd4_mix,t19,cis_min_5kb,ZNF641,0.06529209621993126,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF670,0.24742268041237114,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF714,0.831615120274914,0.027989821882951654,False
cd4_mix,t19,cis_min_5kb,ZNF740,0.44329896907216493,0.0,True
cd4_mix,t19,cis_min_5kb,ZNF768,0.415807560137457,0.002386634844868735,False
cd4_mix,t19,cis_min_5kb,ZNF777,0.9381443298969072,0.0027247956403269754,False
cd4_mix,t19,cis_min_5kb,ZNF783,0.23367697594501713,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF784,0.3848797250859106,0.004301075268817204,True
cd4_mix,t19,cis_min_5kb,ZNF786,0.5189003436426116,0.0,False
cd4_mix,t19,cis_min_5kb,ZNF821,0.9553264604810997,0.009259259259259259,False
cd4_mix,t19,cis_min_5kb,ZRANB3,0.9347079037800687,0.010135135135135136,True
orion_hct116,t16,base,ACLY,1.0,0.029925187032418952,True
orion_hct116,t16,base,ADNP,0.9810606060606061,0.010526315789473684,False
orion_hct116,t16,base,AGO1,0.40909090909090906,0.07894736842105263,False
orion_hct116,t16,base,AKAP1,0.9734848484848485,0.0,False
orion_hct116,t16,base,AKIRIN1,0.928030303030303,0.0,False
orion_hct116,t16,base,AKT2,0.7348484848484849,0.04878048780487805,False
orion_hct116,t16,base,ALG12,0.5606060606060606,0.017857142857142856,True
orion_hct116,t16,base,ANKZF1,1.0,0.10526315789473684,True
orion_hct116,t16,base,ANP32B,0.928030303030303,0.03571428571428571,False
orion_hct116,t16,base,AP2A2,0.5984848484848485,0.008849557522123894,False
orion_hct116,t16,base,API5,0.9810606060606061,0.020833333333333332,False
orion_hct116,t16,base,ARL14EP,0.6628787878787878,0.03125,False
orion_hct116,t16,base,ASCC2,0.44318181818181823,0.046511627906976744,False
orion_hct116,t16,base,BCKDK,0.8712121212121212,0.04477611940298507,False
orion_hct116,t16,base,BCL6,0.446969696969697,0.012195121951219513,False
orion_hct116,t16,base,BCL7C,0.5378787878787878,0.0,True
orion_hct116,t16,base,BRPF1,0.9924242424242424,0.061946902654867256,False
orion_hct116,t16,base,CAND1,1.0,0.01020408163265306,False
orion_hct116,t16,base,CAPRIN2,0.9659090909090909,0.0,False
orion_hct116,t16,base,CARM1,1.0,0.2052980132450331,False
orion_hct116,t16,base,CAT,0.8257575757575757,0.0,False
orion_hct116,t16,base,CCDC112,0.8560606060606061,0.0,False
orion_hct116,t16,base,CHD3,0.8257575757575757,0.0,True
